slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,surface lum_nuc_neu (ergs/s),surface lum_non_nuc_neu (ergs/s),surface lum_plas_neu (ergs/s),surface lum_brem_neu (ergs/s),surface lum_phot_neu (ergs/s),surface lum_pair_neu (ergs/s),surface lum_reco_neu (ergs/s),surface lum_nuc_gamma (ergs/s),surface lum_grav_gamma (ergs/s),MESA surface lum_gamma (ergs/s)
1.0,12.0,-10.0,1e-05,20664132.536947023,1e-05,639726.0835146102,4315.804265706676,0.0,1.8521257111959956e+16,0.0,0.0,0.0,5.840863642827692e+18,0.0,0.002516000525170997,0.006102550859362312,0.00132554747422226,0.0,1.8521257111959956e+16,0.0,0.0,0.0,0.0,0.0,0.0,4.629548288052521e+17,0.0,2.1068892756772194e+37
93.0,12.0,-10.0,1000.0,20663132.53695702,36.9593520767294,817603.6208952116,4472.397570245443,0.0,9.951108253289427e+17,0.0,0.0,0.0,1.1598515547733775e+27,0.0,0.002516000525170998,0.006102550859362312,0.0013255474742222605,0.0,9.951108253289427e+17,0.0,0.0,0.0,0.0,0.0,0.0,2.4873654492733936e+19,0.0,1.4350795612757174e+37
94.0,12.0,-10.0,1044.3512224920753,20663088.18573453,44.35122249207528,821655.2877659095,4116.729358374975,0.0,1.0812216432326081e+18,0.0,0.0,0.0,2.672113183194303e+27,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,1.0000000000000004e-99,1.0812216432326081e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.784956554464343e+19,0.0,1.0164846681078662e+37
95.0,12.0,-10.0,1090.9200061087543,20663041.616950914,46.56878361667904,826125.8299166708,4117.135824051838,0.0,1.1782640480589453e+18,0.0,0.0,0.0,4.4025037050073424e+27,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785182,7.220479166932966e-100,1.1782640480589453e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.0582741249162064e+19,0.0,1.005940331626523e+37
96.0,12.0,-10.0,1139.8172289062672,20662992.719728116,48.897222797512995,830745.7504755991,4119.560067255454,0.0,1.2871433529512965e+18,0.0,0.0,0.0,6.38730812547852e+27,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785184,1.1867838866807207e-99,1.2871433529512965e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.307211848588661e+19,0.0,9.973102477125585e+36
97.0,12.0,-10.0,1191.159312843656,20662941.377644178,51.34208393738865,835350.3938701292,4122.764381179462,0.0,1.4113896947239432e+18,0.0,0.0,0.0,8.6725229957616e+27,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785184,1.1867838866807207e-99,1.4113896947239432e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.591313875267404e+19,0.0,9.891908170700081e+36
98.0,12.0,-10.0,1245.068500977914,20662887.468456045,53.90918813425809,840163.8291699493,4126.149124352829,0.0,1.5527377866480963e+18,0.0,0.0,0.0,1.1312301695869178e+28,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785184,1.1867838866807207e-99,1.5527377866480963e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.9188079479658947e+19,0.0,9.80994368448227e+36
99.0,12.0,-10.0,1301.673148518885,20662830.8638085,56.604647540970994,845202.1600502088,4129.763936540082,0.0,1.7140322809584594e+18,0.0,0.0,0.0,1.4371993578653383e+28,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1867838866807203e-99,1.7140322809584594e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.2974740431200346e+19,0.0,9.727732243446792e+36
100.0,12.0,-10.0,1361.1080284369043,20662771.428928584,59.43487991801955,850480.7987037312,4133.629934486325,0.0,1.8986687570886154e+18,0.0,0.0,0.0,1.7930741287860526e+28,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1867838866807203e-99,1.8986687570886154e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.736547032702565e+19,0.0,9.645514854673312e+36
101.0,12.0,-10.0,1423.514652350825,20662709.022304673,62.40662391392053,856014.5162825998,4137.84012206616,0.0,2.110733113247426e+18,0.0,0.0,0.0,2.2084780760857804e+28,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785184,1.1867838866807207e-99,2.110733113247426e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.247199338506841e+19,0.0,9.564174712807138e+36
102.0,12.0,-10.0,1489.0416074604416,20662643.49534956,65.52695510961655,861809.6362406315,4141.301973481389,0.0,2.354839654329972e+18,0.0,0.0,0.0,2.6950958135929497e+28,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1867838866807207e-99,2.354839654329972e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.842200824279207e+19,0.0,9.474021404679315e+36
103.0,12.0,-10.0,1557.8449103255389,20662574.692046694,68.8033028650974,867877.0043751016,4144.714806375235,0.0,2.636682820579559e+18,0.0,0.0,0.0,3.267198231535073e+28,0.0,0.002488995312584066,0.006083494621983939,0.0012321516160785182,1.1867838866807207e-99,2.636682820579559e+18,0.0,0.0,0.0,0.0,0.0,0.0,5.537271296783839e+19,0.0,9.381740410555656e+36
104.0,12.0,-10.0,1630.0883783338911,20662502.44857869,72.24346800835225,874228.1681645529,4148.126216899143,0.0,2.9631292579321124e+18,0.0,0.0,0.0,3.942279083089171e+28,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.1867838866807209e-99,2.9631292579321124e+18,0.0,0.0,0.0,0.0,0.0,0.0,6.351367644847221e+19,0.0,9.28797627051583e+36
105.0,12.0,-10.0,1705.944019742661,20662426.59293728,75.85564140876988,880900.6933713153,4154.777407225896,0.0,3.3438238881898015e+18,0.0,0.0,0.0,4.7421831188093415e+28,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785182,1.1867838866807205e-99,3.3438238881898015e+18,0.0,0.0,0.0,0.0,0.0,0.0,7.311061136969321e+19,0.0,9.220731537390099e+36
106.0,12.0,-10.0,1785.5924432218694,20662346.9445138,79.64842347920838,887889.0878606177,4158.990542311643,0.0,3.788196104814046e+18,0.0,0.0,0.0,5.693699444532952e+28,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1867838866807209e-99,3.788196104814046e+18,0.0,0.0,0.0,0.0,0.0,0.0,8.442933505971133e+19,0.0,9.130512316299247e+36
107.0,12.0,-10.0,1869.223287875038,20662263.313669145,83.6308446531688,895207.9437658784,4163.256528559558,0.0,4.3087436189527066e+18,0.0,0.0,0.0,6.830079867436584e+28,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785182,1.1867838866807207e-99,4.3087436189527066e+18,0.0,0.0,0.0,0.0,0.0,0.0,9.781493758687712e+19,0.0,9.039655750172494e+36
108.0,12.0,-10.0,1957.0356747608655,20662175.50128226,87.81238688582724,902874.0773301781,4167.71080046112,0.0,4.920851732897982e+18,0.0,0.0,0.0,8.192787438644469e+28,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1867838866807207e-99,4.920851732897982e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.136970133013565e+20,0.0,8.949518328678717e+36
109.0,12.0,-10.0,2049.238680990984,20662083.29827603,92.2030062301186,910912.0736095972,4173.103106238536,0.0,5.64403143928094e+18,0.0,0.0,0.0,9.83391036441279e+28,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1867838866807207e-99,5.64403143928094e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.3262265796192208e+20,0.0,8.866395977692306e+36
110.0,12.0,-10.0,2146.0518375326087,20661986.485119488,96.81315654162454,919329.8334775679,4177.432230244993,0.0,6.500826056532582e+18,0.0,0.0,0.0,1.1818677375761195e+29,0.0,0.0024889953125840658,0.006083494621983939,0.0012321516160785178,1.1867838866807203e-99,6.500826056532582e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.5522250199765995e+20,0.0,8.773909960549389e+36
