slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
40.0,11.0,0.0,73438.57839845422,16823518.83715617,12248.096399742368,32277285.447286546,26567.725535130132,2.926969282194211e+37,1.2479917193175934e+29,0.0,6.809553506144095e+49,2.898962607068615e+41,0.0,0.0022075883462115576,0.009289613709062195,0.0019290040369076872,6.321969049729379e-05
41.0,11.0,0.0,88136.29407814506,16808821.12147648,14697.71567969084,32271487.15891413,26561.687768309494,2.927504703409399e+37,1.2457538884306322e+29,0.0,8.166472902010809e+49,3.476378456040356e+41,0.0,0.0021864335580057174,0.009275131847870776,0.0019290042533682316,6.55203805679988e-05
42.0,11.0,0.0,105773.55289377406,16791183.86266085,17637.258815629008,32263315.22622135,26553.986706701915,2.9282593647366865e+37,1.242645884864077e+29,0.0,9.79519592616667e+49,4.167548776512514e+41,0.0,0.002163869607124172,0.009257982868717098,0.0019290045291231275,6.797099003482905e-05
43.0,11.0,0.0,126938.26347252888,16770019.152082095,21164.71057875481,32252862.100776266,26544.697547500153,2.9290539187388235e+37,1.2386766483460677e+29,0.0,1.1750193880470973e+50,4.9943038929235355e+41,0.0,0.0021403003418468012,0.009237735963814369,0.0019290048791044986,7.052534106576262e-05
44.0,11.0,0.0,152335.91616703465,16744621.49938759,25397.652694505774,32239135.41486499,26533.124488593643,2.9302831714703253e+37,1.2335228827108601e+29,0.0,1.4097175983780338e+50,5.982282173634309e+41,0.0,0.0021156992536107613,0.00921392410668487,0.0019290053206443424,7.312158340800503e-05
45.0,11.0,0.0,182813.09940044157,16714144.316154182,30477.183233406926,32222324.479752712,26519.133073246263,2.9315418673829644e+37,1.2272404893884342e+29,0.0,1.6914764276203677e+50,7.161817923528145e+41,0.0,0.0020907352822790437,0.009186038414820198,0.0019290058739610827,7.568161545122753e-05
46.0,11.0,0.0,219385.71928052988,16677571.696274094,36572.61988008831,32201868.22418254,26502.376826978714,2.9332659631264627e+37,1.2195779484881004e+29,0.0,2.029785872007613e+50,8.568423200126302e+41,0.0,0.0020656426552000517,0.009153538940744874,0.0019290065610826808,7.812546044283618e-05
47.0,11.0,0.0,263272.86313663586,16633684.552417988,43887.14385610597,32177292.640411332,26482.347917938027,2.935547990673955e+37,1.210370033896604e+29,0.0,2.436073043582794e+50,1.0243605548340298e+42,0.0,0.00204053967329535,0.009115880274028175,0.0019290074058226363,8.037012528094182e-05
48.0,11.0,0.0,315937.43576396303,16581019.979790661,52664.572627327165,32148951.642576177,26459.079004249954,2.938344945992165e+37,1.1997221116157654e+29,0.0,2.9240821761926024e+50,1.2236139977836033e+42,0.0,0.002015647427231832,0.009072497936007057,0.0019290084330048785,8.235202181888547e-05
49.0,11.0,0.0,379134.9229167556,16517822.492637869,63197.48715279259,32116638.95244398,26432.009487766,2.9419541765589617e+37,1.1875088322148242e+29,0.0,3.510412453516347e+50,1.460284027678938e+42,0.0,0.0019910397808239676,0.00902286284253134,0.0019290096682210687,8.402436609705504e-05
50.0,11.0,0.0,454971.9075001067,16441985.508054517,75836.9845833511,32081143.376544487,26401.35831836989,2.9464930371189264e+37,1.1739621667347373e+29,0.0,4.215094297993118e+50,1.7410482496129166e+42,0.0,0.00196689345365225,0.008966454035378185,0.0019290111378458036,8.537569999827773e-05
51.0,11.0,0.0,545976.289000128,16350981.126554497,91004.38150002134,32042091.26467013,26366.079864412517,2.952353399511691e+37,1.15881124580147e+29,0.0,5.062394385075397e+50,2.0736171316586452e+42,0.0,0.0019431873237925024,0.008902892697014558,0.0019290128685527468,8.64151218830986e-05
52.0,11.0,0.0,655181.5468001537,16241775.86875447,109205.2578000256,32001283.91463049,26326.83666563755,2.9596252726683085e+37,1.142628151634258e+29,0.0,6.081658847796235e+50,2.4671264991520482e+42,0.0,0.0019201736514388426,0.008831807403743213,0.0019290148897522894,8.718799528074151e-05
53.0,11.0,0.0,786227.8561601845,16110729.55939444,131046.30936003072,31958725.538871523,26282.386004021646,2.96884845810233e+37,1.1251694420811617e+29,0.0,7.3085878471498895e+50,2.9321226204287664e+42,0.0,0.0018977608519853075,0.008753074822855854,0.0019290172326217362,8.774870652871582e-05
54.0,11.0,0.0,943483.4273922213,15953473.988162402,157255.57123203683,31916430.05582836,26233.057389239035,2.9803363747376994e+37,1.1069314187229736e+29,0.0,8.786599747426485e+50,3.48107334408881e+42,0.0,0.0018761528337329257,0.008666673971521285,0.0019290199343643278,8.816045460353272e-05
55.0,11.0,0.0,1132190.1128706655,15764767.302683959,188706.6854784442,31876163.09164526,26178.47165945628,2.9946687040380647e+37,1.0882160183828968e+29,0.0,1.0568743274367278e+51,4.128676576613095e+42,0.0,0.0018553650215840638,0.008572774232147615,0.0019290230399464363,8.848048806705745e-05
