mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),num_a (/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23
1.4065382753346983e-06,2.796774581280478e+27,0.19720159327087472,13719314843.854753,905080.1956020673,5.956687062038791,0.0,2.177805241477142e-14,0.0,0.0,60908303423426.64,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983943,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
2.813076546188606e-06,2.796774581280478e+27,0.2484594625901835,3566009968.5443134,905071.0391691839,5.956682668385709,0.0,2.177509323073695e-14,0.0,0.0,121808330676164.34,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
5.626153087896421e-06,5.593549162560956e+27,0.31304148842525426,4492971537.345871,905060.1378575217,5.9566774374062526,0.0,2.1771570610294025e-14,0.0,0.0,243588681231011.2,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
1.1252306172311252e-05,1.1187098327108731e+28,0.39441200770036494,5660947025.969452,905042.8328655418,5.956669133500179,0.0,2.1765979784551326e-14,0.0,0.0,487086837266647.75,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
2.2504612340141714e-05,2.2374196652230645e+28,0.4969369380146599,7132659401.965496,905015.3623397037,5.956655951274525,0.0,2.175710739594043e-14,0.0,0.0,973884636727120.8,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
4.5009224675802637e-05,4.474839330446129e+28,0.6261192378884335,8987212602.21843,904971.7542080748,5.956635024306855,0.0,2.1743029648253733e-14,0.0,0.0,1946850279057741.5,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
9.001844934812368e-05,8.949678661090939e+28,0.7888966919457079,11324427478.76458,904902.5271347061,5.95660180107551,0.0,2.1720698469149554e-14,0.0,0.0,3890782994991125.5,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
0.00015466564313582065,1.2854511824038634e+29,0.9449244586635888,10854851730.562973,904813.2770814834,5.9565589647300845,0.0,2.169193925264172e-14,0.0,0.0,6679175891085233.0,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
0.00021931283692400164,1.285451182413487e+29,1.061630367563075,8119230082.13726,904725.4068930952,5.956516786534825,0.0,2.1663658799951157e-14,0.0,0.0,9463933473065188.0,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
0.0003486072244993643,2.5709023648071057e+29,1.239077423237708,12344991663.28421,904608.075899473,5.956460460596415,0.0,2.1625948375390555e-14,0.0,0.0,1.5023753655013984e+16,0.0,0.0,0.0024889953125840666,-2.6039759212784257,0.006083494621983942,-2.215846871542119,0.0012321516160785184,-2.909335849010124,1.0000000000000002e-99,-98.99999999999999
