slice,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,1e-05,13430914.367214309,1e-05,567802.017167677,4246.725831355081,6.3274352054042824e+16,0.0,0.0,0.0025160005251709983,0.006102550859362313,0.0013255474742222605,0.0
93.0,1000.0,13429914.36722431,94.65333455343085,801938.6816156855,4460.003785364935,1.849317693861264e+19,0.0,0.0,0.0025160005251709974,0.006102550859362313,0.0013255474742222603,0.0
94.0,1113.584001464117,13429800.783222845,113.58400146411702,816532.1969419355,4111.340958894466,2.3260154814321436e+21,0.0,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785184,1.0000000000000002e-99
95.0,1232.84720300144,13429681.520021308,119.26320153732287,832173.8356683485,4117.312254185992,3.453628635125024e+21,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785186,7.442554932285634e-100
96.0,1358.073564615629,13429556.293659694,125.22636161418903,848613.0916100342,4124.062997239935,4.994395529087257e+21,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.1191487071285275e-99
97.0,1466.0400797527689,13429448.327144558,107.96651513713977,862670.0042752983,4131.10105359164,6.720922173255361e+21,0.0,0.0,0.002488995312584066,0.006083494621983943,0.001232151616078518,1.1191487071285275e-99
98.0,1568.0903038852305,13429346.276920425,102.05022413246164,876097.4271272322,4137.753450664269,8.767486135605884e+21,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785186,1.1191486809564537e-99
99.0,1668.7982571797097,13429245.56896713,100.70795329447914,889495.6438513015,4143.282906522541,1.1261078614173263e+22,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.1191485452642994e-99
100.0,1774.5416081389128,13429139.825616172,105.74335095920308,903799.6770793415,4153.632273942447,1.451064083216826e+22,0.0,0.0,0.002488995312584066,0.006083494621983942,0.0012321516160785186,1.119148707128531e-99
101.0,1885.572126646076,13429028.795097664,111.03051850716324,919042.1790477512,4160.485258488521,1.875970343678144e+22,0.0,0.0,0.002488995312584067,0.0060834946219839444,0.0012321516160785188,1.1191487071285316e-99
102.0,1994.3508266164579,13428920.016397692,108.7786999703819,934205.2433480617,4167.08367124467,2.3951218773538288e+22,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.1191487071285314e-99
103.0,2108.568461585359,13428805.798762724,114.217634968901,950402.1820901509,4173.459377021547,3.076057188293605e+22,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785186,1.1191487071285314e-99
104.0,2228.496978302705,13428685.870246006,119.92851671734606,967742.2818930616,4180.035136874983,3.979607950260289e+22,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.1191487071285316e-99
105.0,2345.038710151332,13428569.328514159,116.541731848627,984934.3283138236,4186.308390248776,5.092692674563461e+22,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.119148707128531e-99
106.0,2460.9436431833424,13428453.423581127,115.9049330320103,1002399.5375243356,4192.390402493361,6.494457441089225e+22,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.1191487071285312e-99
107.0,2582.643822866953,13428331.723401442,121.70017968361084,1021187.2273570527,4199.335092826723,8.376118206636618e+22,0.0,0.0,0.002488995312584067,0.0060834946219839444,0.0012321516160785188,1.1191487071285312e-99
108.0,2710.429011534745,13428203.938212775,127.78518866779137,1041442.5374430186,4205.878021678341,1.0943715201369947e+23,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785186,1.119148707128531e-99
109.0,2834.43580240107,13428079.931421908,124.00679086632506,1061644.385121271,4212.138829901144,1.4205422939221092e+23,0.0,0.0,0.002488995312584067,0.0060834946219839444,0.0012321516160785188,1.1191487071285312e-99
110.0,2957.287590585855,13427957.079633724,122.85178818478488,1082249.0704079238,4218.307096221714,1.844184907332223e+23,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785186,1.119148707128531e-99
