slice,mass (Msun),coupling,age (years),time to solar luminosity (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,avg X_h1,avg X_he3,avg X_he4,avg X_n14,avg X_mg24,avg X_si28,avg X_s32,avg X_ar36,avg X_ca40,avg X_ti44,avg X_cr48,avg X_fe52,avg X_fe54,avg X_ni56,avg X_neut,avg X_prot,max T (K),surface lum_nuc (ergs/s),cumulative e_nuc (ergs),surface R (Rsun)
11.0,10.99999980507589,-10.0,321.504185344,17187208.59363747,61.917364223999996,32744874.45484825,27440.327690423437,3.1656144585951427e+37,2.12729824543477e+36,2.0630525350833438e-33,2.9264895342765653e-27,3.2136051062374502e+47,2.180306851512048e+46,2.059541806675409e-23,0.0016860258364511996,0.006551513283762331,0.0013503022850302232,3.363405192440092e-05,0.7177858668911878,1.847767857082309e-05,0.26807618610247347,0.0015681635801311862,0.0004891806828307005,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32744874.45484825,3.036443167528072e+37,3.1123639016262055e+47,4.023626131161061
12.0,10.99999976012537,-10.0,395.8050224128,17187134.292800404,74.30083706879998,32746395.026866484,27439.2566725325,3.1636160250402078e+37,2.1184151245283388e+36,2.0817713725687184e-33,2.9530426545016688e-27,3.954888174083205e+47,2.6766835451600246e+46,2.547332315193772e-23,0.001685590742754735,0.00655143767900405,0.0013503022856421684,3.3652974010282316e-05,0.7177853189270915,1.8470141396566125e-05,0.26807667771608434,0.0015687373436072238,0.0004891806828349978,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32746395.026866484,3.0238718700025367e+37,3.820902801045729e+47,4.022669894952883
13.0,10.999999706231604,-10.0,484.9660268953599,17187045.13179592,89.16100448255997,32748306.320740763,27438.047851347077,3.1612569932688553e+37,2.109455581168667e+36,2.1053069654418008e-33,2.986428457846365e-27,4.843764547323626e+47,3.269816349767e+46,3.139298619731592e-23,0.0016850911219445652,0.006551346859692135,0.0013503022863788662,3.367567928986901e-05,0.7177846644217484,1.8461227594475318e-05,0.2680772682303957,0.0015693997014503511,0.0004891806828401712,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32748306.320740763,3.0113257798164605e+37,4.66762179399949e+47,4.021524135760605
14.0,10.99999964162572,-10.0,591.9592322744319,17186938.13859054,106.99320537907197,32750698.04667735,27436.68242812715,3.158473582336929e+37,2.1007589387717888e+36,2.134872874524015e-33,3.028368409461304e-27,5.909477034029219e+47,3.9786413483762997e+46,3.859634130097308e-23,0.001684518814322852,0.0065512377345774975,0.0013503022872663841,3.370292520142095e-05,0.7177838825294752,1.8450707707872273e-05,0.26807797771407443,0.001570162878150988,0.0004891806828464033,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32750698.04667735,2.9993278244295505e+37,5.679636310154818e+47,4.020153424892077
15.0,10.999999564193322,-10.0,720.3510787293183,17186809.746744085,128.39184645488635,32753647.34924757,27435.128256338954,3.155188242934811e+37,2.0927170233635099e+36,2.1716808442645928e-33,3.0805813979295873e-27,7.187001795562061e+47,4.825975203088379e+46,4.738940161649318e-23,0.001683864001552818,0.0065511065727242015,0.0013503022883365016,3.373562103659742e-05,0.7177829480931013,1.843832040261553e-05,0.26807883037607216,0.0015710415930043306,0.0004891806828539178,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32753647.34924757,2.988476272645831e+37,6.8896599739116374e+47,4.018517316879062
16.0,10.99999947140887,-10.0,874.4212944751819,17186655.67652834,154.0702157458636,32757244.09649211,27433.33680570407,3.1513077034860683e+37,2.0857590210381046e+36,2.21724140722525e-33,3.1452101499427904e-27,8.718146049066746e+47,5.839395103571344e+46,5.816244175963765e-23,0.0016831144078445364,0.006550948866620302,0.0013503022896280705,3.377485832625274e-05,0.7177818306473074,1.842376905337249e-05,0.2680798554483528,0.0015720541118382362,0.0004891806828629869,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32757244.09649211,2.9794153777889106e+37,8.337285900589142e+47,4.016569914678409
17.0,10.999999360258354,-10.0,1059.3055533702181,17186470.792269446,184.8842588950363,32761567.729373686,27431.232295695827,3.1467187824187225e+37,2.080300715162902e+36,2.2731823921827234e-33,3.2245637796886057e-27,1.0552843578260401e+48,7.052316513458328e+46,7.141625440297285e-23,0.0016822542288597343,0.006550759167210159,0.0013503022911887151,3.3821946689848516e-05,0.7177804931969032,1.840671825220499e-05,0.26808108825165533,0.0015732236409710485,0.0004891806828739452,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32761567.729373686,2.9727562815472394e+37,1.0070554419886994e+48,4.014260266204897
18.0,10.999999227148551,-10.0,1281.1666640442618,17186248.93115877,221.86111067404357,32766669.170338552,27428.697054400993,3.1412840277642825e+37,2.0766842591549098e+36,2.3410984611512954e-33,3.32090435350618e-27,1.2750678126337047e+48,8.505291911377394e+46,8.779601195717734e-23,0.0016812628663990575,0.006550530885913999,0.001350302293076955,3.387845577677712e-05,0.7177788907490322,1.8386789736759694e-05,0.26808257147939774,0.0015745799766426426,0.0004891806828872031,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32766669.170338552,2.968983079535507e+37,1.2147836680002246e+48,4.011533688852691
19.0,10.999999067800966,-10.0,1547.399996853114,17185982.69782596,266.23333280885225,32772556.92773841,27425.564249846295,3.134838591070852e+37,2.0751187116448e+36,2.4224223126227808e-33,3.4362641885909175e-27,1.5382668037673943e+48,1.0247547965463365e+47,1.0813451074298754e-22,0.0016801136191637483,0.006550256058538807,0.001350302295364864,3.3946263744211654e-05,0.717776968587408,1.836355774734412e-05,0.26808435673728215,0.0015761612390371286,0.0004891806829032666,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32772556.92773841,2.9683607961449727e+37,1.4640052927089064e+48,4.008331628707992
20.0,10.999998877128524,-10.0,1866.879996223737,17185663.21782659,319.4799993706227,32779133.41311177,27421.569616380075,3.127180180089373e+37,2.0766070819672554e+36,2.516550762373815e-33,3.569787653645553e-27,1.853333998934837e+48,1.2339754781514406e+47,1.3348906483123158e-22,0.001678766708064677,0.0065499250717143504,0.0013503022981400767,3.4027627142854356e-05,0.7177746594130956,1.8336448814422576e-05,0.2680865063714344,0.0015780222487907797,0.0004891806829227507,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32779133.41311177,2.9719065136345668e+37,1.7634284776959434e+48,4.004598941358034
