slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
11.0,11.0,-9.0,321.504185344,16950576.934240386,61.917364223999996,32257355.361478984,26794.085105634866,3.1287213408253555e+37,1.2330722779772502e+29,2.558179403129196e-32,3.2167738242344885e+47,1.249821659212919e+39,2.5897427039074233e-22,0.00237019515994581,0.009364122421478601,0.001929003218555701,4.710318383256425e-05
12.0,11.0,-9.0,395.8050224128,16950502.63340332,74.30083706879998,32257729.966096997,26792.47617484999,3.1099734664908957e+37,1.2333515297491335e+29,2.5637424219076614e-32,3.945487629548446e+47,1.5388145706371403e+39,3.190466316582214e-22,0.002369714605012108,0.009364046439796079,0.0019290032190864496,4.712418792262172e-05
13.0,11.0,-9.0,484.9660268953599,16950413.472398836,89.16100448255997,32258344.98757399,26790.678964743696,3.0900368972294356e+37,1.2337310235157294e+29,2.572055654756268e-32,4.814338468387789e+47,1.8857127696990565e+39,3.913672151172781e-22,0.0023691686992180537,0.00936395523711773,0.0019290032197245253,4.7149382966763145e-05
14.0,11.0,-9.0,591.9592322744319,16950306.479193456,106.99320537907197,32259288.11155681,26788.68841481642,3.069353878258071e+37,1.2342411638285063e+29,2.584146122992932e-32,5.8499807395375265e+47,2.302162736940786e+39,4.785598643180286e-22,0.0023685527238771664,0.009363845743739108,0.0019290032204920403,4.717960597938986e-05
15.0,11.0,-9.0,720.3510787293183,16950178.087347,128.39184645488635,32260663.037334453,26786.498925751093,3.048536645225062e+37,1.2349176366126822e+29,2.601322536488113e-32,7.08432263956081e+47,2.802176599111771e+39,5.838865103759464e-22,0.0023678621622909663,0.009363714258551424,0.0019290032214158643,4.721586218864683e-05
16.0,11.0,-9.0,874.4212944751819,16950024.017131254,154.0702157458636,32262586.036112614,26784.09959522136,3.028360045738285e+37,1.2358004447806863e+29,2.625183999907908e-32,8.55572959751859e+47,3.40262216887041e+39,7.114378564855284e-22,0.002367092308763099,0.009363556313920093,0.0019290032225287434,4.7259359264396426e-05
17.0,11.0,-9.0,1059.3055533702181,16949839.13287236,184.8842588950363,32265177.568089794,26781.465799462952,3.0097233567192256e+37,1.236931451714252e+29,2.657622765092216e-32,1.0310551806920083e+48,4.1238162873031005e+39,8.663908172612484e-22,0.0023662374775563974,0.009363366510866104,0.001929003223870699,4.731154837143263e-05
18.0,11.0,-9.0,1281.1666640442618,16949617.271761686,221.86111067404357,32268547.983082574,26778.546446267235,2.9935742553558175e+37,1.2383501061815689e+29,2.700779358087094e-32,1.2405039558585288e+48,4.9902418069073616e+39,1.0553538695504348e-21,0.0023652897236290044,0.009363138319119413,0.0019290032254907759,4.7374173036323846e-05
19.0,11.0,-9.0,1547.399996853114,16949351.038428877,266.23333280885225,32272776.695497807,26775.246472503277,2.980793866182216e+37,1.240087085833765e+29,2.7569316334417364e-32,1.4907694529693872e+48,6.031410787150999e+39,1.2868240404910539e-21,0.0023642370698528444,0.009362863836823424,0.0019290032274492381,4.7449326623520554e-05
20.0,11.0,-9.0,1866.879996223737,16949031.558429506,319.4799993706227,32277885.518520072,26771.414060658804,2.972052600088727e+37,1.242155932568726e+29,2.828291318071512e-32,1.7902073563438255e+48,7.282897951615705e+39,1.5717778203771087e-21,0.0023630613731206894,0.009362533505699959,0.001929003229820287,4.753951878125577e-05
