slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,19.0,-8.75,1e-05,10771667.394993333,1e-05,520355.44999914884,4196.900633874236,1.4213992976916962e+16,0.0,0.0,4.482524825200533e+18,0.0,0.0,0.002516000525170997,0.0061025508593623105,0.00132554747422226,0.0
94.0,19.0,-8.75,1000.0,10770667.395003334,68.82622640049568,802160.8803028491,4455.878822212011,1.8164978243488178e+19,0.0,0.0,3.942715568517926e+28,0.0,0.0,0.0025160005251709974,0.006102550859362312,0.0013255474742222605,0.0
95.0,19.0,-8.75,1082.5914716805949,10770584.803531652,82.59147168059482,815815.4111463228,4105.416879368645,4.1929841537886556e+18,0.0,0.0,5.034822171336786e+28,0.0,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,1.0000000000000002e-99
96.0,19.0,-8.75,1169.3125169452194,10770498.08248639,86.72104526462456,830646.9451062698,4109.487584654675,5.514145626611276e+18,0.0,0.0,6.542849952553145e+28,0.0,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,8.292721519180941e-100
97.0,19.0,-8.75,1260.3696144730752,10770407.025388861,91.0570975278558,846436.4825071468,4115.09387678321,7.324393304936701e+18,0.0,0.0,8.64610561516193e+28,0.0,0.0,0.0024889953125840658,0.006083494621983941,0.0012321516160785182,1.0054670599212782e-99
98.0,19.0,-8.75,1342.0135180217778,10770325.381485311,81.64390354870277,860659.731470395,4121.071912322084,9.43662900559981e+18,0.0,0.0,1.1075775380111977e+29,0.0,0.0,0.0024889953125840658,0.006083494621983942,0.001232151616078518,1.0054670599212784e-99
99.0,19.0,-8.75,1420.3166519466918,10770247.078351388,78.30313392491402,874593.4132635595,4126.666685211088,1.2019884637879304e+19,0.0,0.0,1.404392678597352e+29,0.0,0.0,0.0024889953125840658,0.006083494621983942,0.001232151616078518,1.0054670599212782e-99
100.0,19.0,-8.75,1497.8248061668771,10770169.570197167,77.50815422018533,888697.1290198718,4131.991870039516,1.5262406084068133e+19,0.0,0.0,1.7774512357587246e+29,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.0054670599212799e-99
101.0,19.0,-8.75,1579.2083680980718,10770088.186635235,81.3835619311946,903875.8684366671,4137.627494563455,1.960712322562621e+19,0.0,0.0,2.280670407976036e+29,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.0054670599212786e-99
102.0,19.0,-8.75,1664.661108125826,10770002.733895209,85.45274002775434,920249.4054056712,4143.453743879193,2.5508524442242003e+19,0.0,0.0,2.9680837182779664e+29,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.0054670599212786e-99
103.0,19.0,-8.75,1747.5663564683198,10769919.828646865,82.90524834249375,936581.7296075261,4149.030931001361,3.294068818334182e+19,0.0,0.0,3.829317981754325e+29,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.0054670599212784e-99
104.0,19.0,-8.75,1829.7585660468587,10769837.636437288,82.19220957853881,953251.8098742113,4154.522046962991,4.2481014786076746e+19,0.0,0.0,4.9304316289816326e+29,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.0054670599212784e-99
105.0,19.0,-8.75,1916.0603861043246,10769751.33461723,86.30182005746575,971326.6631654352,4160.091818075712,5.556598100049467e+19,0.0,0.0,6.44272325677803e+29,0.0,0.0,0.0024889953125840658,0.006083494621983941,0.0012321516160785182,1.0054670599212782e-99
