slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1296.0,22.0,-9.0,9081372.472372157,8292.598648335785,48.51150796151536,355143708.6118705,3166.525066451582,1.797934232248745e+38,9.191316078262767e+36,1.4840615894102787e+32,2.7505857139230968e+47,1.4061416843596493e+46,2.2704048530787223e+41,0.09290330480606526,0.23545160048668218,0.004562982703988562,3.895404841640809e-05
1297.0,22.0,-9.0,9081423.409455517,8241.661564975977,50.93708335959113,356977197.710142,3165.1541458169463,1.8248114853047463e+38,9.540424722723549e+36,1.6010222926042521e+32,5.681875039002802e+47,2.938669585003355e+46,4.842209992030779e+41,0.09290329100022177,0.2354516521605988,0.0045629862077421575,3.895551350736835e-05
1298.0,22.0,-9.0,9081476.893393045,8188.177627447993,53.48393752757069,358918727.611616,3163.78504956059,1.853810930768861e+38,9.91952797216081e+36,1.7322718924315907e+32,8.80864130917997e+47,4.611766067748095e+46,7.763980078791802e+41,0.09290327792697849,0.2354517059775247,0.004562989655624293,3.895711021666703e-05
1299.0,22.0,-9.0,9081526.214336291,8138.856684202328,49.320943244939436,360616299.7153001,3162.8992307692483,1.8903571023223382e+38,1.02823931701993e+37,1.882536793676779e+32,1.1748874893936505e+48,6.211074351540075e+46,1.0692050070704114e+42,0.09290323881301321,0.23545172750726576,0.00456307022864717,3.895862052635174e-05
1300.0,22.0,-9.0,9081574.234167455,8090.83685303852,48.01983116452652,362358440.0333525,3161.7885256675836,1.9054497716975516e+38,1.0647595391957913e+37,2.02863566190071e+32,1.463439922586053e+48,7.823496575223513e+46,1.3764121373747854e+42,0.09290322763308284,0.23545176540414028,0.0045630872619310415,3.896014781095353e-05
1301.0,22.0,-9.0,9081621.739975939,8043.33104455471,47.50580848475601,364078776.0935754,3160.924267852906,1.933899925983506e+38,1.102048930034877e+37,2.1825833266045833e+32,1.753165820376535e+48,9.474523659786926e+46,1.703394369137094e+42,0.0929031954110199,0.2354518242032334,0.004563113380457214,3.896169264456746e-05
1302.0,22.0,-9.0,9081668.505829617,7996.565190875903,46.765853678394215,365808956.9691177,3160.0516466785657,1.952732904204947e+38,1.1398936572764167e+37,2.3440734291103096e+32,2.0411564237768686e+48,1.1155647900917624e+47,2.049100184720215e+42,0.09290317955300274,0.23545187608128829,0.004563122462887598,3.896325819137013e-05
1303.0,22.0,-9.0,9081714.789535178,7950.281485315412,46.2837055588607,367360095.6249628,3158.6848068667578,1.9733516481809606e+38,1.1786813076067882e+37,2.5157526837345423e+32,2.3291874102155784e+48,1.2876054601060502e+47,2.4163001856930995e+42,0.09290316965278386,0.23545192538564053,0.0045631260635073485,3.8964854774555886e-05
1304.0,22.0,-9.0,9081763.387426015,7901.683594478294,48.597890836803735,369153243.4640728,3156.9112848316,1.996074329151745e+38,1.2207187504464688e+37,2.695307457202935e+32,2.635102385627367e+48,1.4746907510061324e+47,2.829378447587205e+42,0.09290316215864294,0.23545197129576872,0.004563133676341614,3.8966555002489075e-05
1305.0,22.0,-9.0,9081814.415211393,7850.655809100717,51.027785378643934,371040105.79684466,3156.032558198964,2.0184036287071004e+38,1.26643797174153e+37,2.897997153522669e+32,2.959906368024588e+48,1.6784874995009796e+47,3.2957276965939146e+42,0.09290315623627428,0.23545202390025022,0.004563135097837833,3.896838824066559e-05
1306.0,22.0,-9.0,9081862.87815375,7802.192866742611,48.46294235788401,372907337.6772771,3155.2240591977975,2.042224996983161e+38,1.3111609390644229e+37,3.1222883773629895e+32,3.272025199839374e+48,1.878875811869355e+47,3.7729155688269053e+42,0.09290314508433963,0.23545207653857178,0.004563143669951139,3.897015344334593e-05
1307.0,22.0,-9.0,9081909.716793869,7755.354226624593,46.838640118163596,374620394.9494228,3154.486518833417,2.0701538301815708e+38,1.3559403939573336e+37,3.354370997577402e+32,3.5778083165837466e+48,2.079162222347121e+47,4.268390834192177e+42,0.09290310923989482,0.23545213672486884,0.004563182053735457,3.897187508805474e-05
1308.0,22.0,-9.0,9081958.897365993,7706.173654500395,49.18057212407178,376470928.28714895,3153.804761816041,2.087923636896306e+38,1.4043625776188115e+37,3.5886219999520636e+32,3.901636612482086e+48,2.2969730331915815e+47,4.824971221679539e+42,0.09290308736037761,0.23545219460450617,0.004563206118345622,3.897371631073352e-05
1309.0,22.0,-9.0,9082010.536966722,7654.534053770825,51.639600730275376,378165576.0229161,3152.9326662401013,2.106884253406413e+38,1.4572304603986093e+37,3.856924100454171e+32,4.2447440718010135e+48,2.534283953381496e+47,5.453073798626133e+42,0.0929030735538862,0.23545226269500596,0.004563210618906329,3.897568554020363e-05
1310.0,22.0,-9.0,9082064.758547489,7600.312473004684,54.22158076678915,380301945.25936264,3152.3345703957566,2.1285362507847427e+38,1.5143717326858708e+37,4.1467072651375715e+32,4.6087092479083017e+48,2.793231187273193e+47,6.162132448421145e+42,0.09290306345467987,0.23545233259805912,0.004563213424433743,3.8977781288998087e-05
1311.0,22.0,-9.0,9082121.691207295,7543.379813198,56.93265980512861,382214862.8994453,3151.099915410547,2.150113987329393e+38,1.5771636583435231e+37,4.488456744096903e+32,4.9947468108338096e+48,3.07639962326753e+47,6.968002701346616e+42,0.09290305636941659,0.23545240544568072,0.004563215324358348,3.8980008012119284e-05
1312.0,22.0,-9.0,9082174.036624769,7491.034395724535,52.345417474228526,384250144.3013175,3150.430094558617,2.1701813516723626e+38,1.636634190615143e+37,4.859134139644899e+32,5.3529927712811e+48,3.3465694812224765e+47,7.7701315996794e+42,0.09290305192414568,0.23545247183662682,0.004563218247234562,3.898208185838759e-05
1313.0,22.0,-9.0,9082224.527540738,7440.543479755521,50.49091596723005,386466047.31009126,3149.379966545727,2.1898202074242033e+38,1.695525356358793e+37,5.2174445689879294e+32,5.701673797422828e+48,3.616544851392206e+47,8.600895659662287e+42,0.09290305068940372,0.23545253674175054,0.004563219310674631,3.8984094094402454e-05
1314.0,22.0,-9.0,9082271.03740928,7394.033611213788,46.50986854288089,388228988.0527851,3148.8492239596626,2.211731401025757e+38,1.7522023402185997e+37,5.6091541399206816e+32,6.026076230483688e+48,3.873546538901921e+47,9.423610049646422e+42,0.09290304452870542,0.23545258294585733,0.004563248214540082,3.8985949761476476e-05
1315.0,22.0,-9.0,9082319.872771248,7345.1982492450625,48.835361970024934,390075981.15863943,3148.092523312899,2.2256630586622706e+38,1.8138701356331694e+37,5.990775670620788e+32,6.36884436074684e+48,4.152895595135458e+47,1.0346232621581857e+43,0.09290304892699061,0.23545264441960767,0.004563250693851003,3.898792471871914e-05
