mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),lum_a (ergs/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23
2.1876961646370707e-06,4.350036677937773e+27,6.148578431572784e-05,4277566.014845186,1913347231.876558,9.281793792402373,0.0,870077954481.5784,14332682229.131216,4.867871586052123,3.784871014659938e+39,6.234769338994771e+37,2.1175419942817857e+28,1.7595659897432045e-11,-10.754594440994788,0.6891015864444942,-0.16171675025466778,0.0001361024368190984,-3.8661340989876,9.011268443058495e-07,-6.045214072611636
4.37539262262629e-06,4.3500372311569256e+27,7.746876552169132e-05,1111936.002498879,1913240600.9092782,9.281769588467837,0.0,868408983693.4458,14324880155.685411,4.867214381372733,7.562482425597574e+39,1.2466145539904026e+38,4.234798371381167e+28,1.7595522473610127e-11,-10.754597832890344,0.6891016203231777,-0.1617167289032078,0.00013610251921638037,-3.866133836063035,9.01126574370539e-07,-6.0452142027059
8.75078554015904e-06,8.700074465404461e+27,9.760778874000438e-05,1401071.8452980397,1913113702.6450212,9.281740782345048,0.0,866426429245.0616,14315601768.401209,4.866432394807932,1.51004568788241e+40,2.4920825680120654e+38,8.468630792949723e+28,1.7595371043760122e-11,-10.754601570513444,0.6891016576463257,-0.16171670538093427,0.0001361026100708752,-3.8661335461522173,9.011262761416402e-07,-6.045214346436193
1.7501571373670227e-05,1.740014892771831e+28,0.0001229847538592512,1765475.4633460017,1912912334.012374,9.281695067399447,0.0,863288636695.7329,14300891507.738863,4.8651916968982984,3.012180772493676e+40,4.980458988350048e+38,1.693413680174262e+29,1.759514861595694e-11,-10.754607060581137,0.6891017124476063,-0.16171667084336996,0.00013610274367015525,-3.866133119845906,9.011258361445439e-07,-6.045214558491221
3.5003143042246915e-05,3.4800297858527234e+28,0.0001549644558370578,2224827.866596004,1912592872.1770668,9.281622532920942,0.0,858331304205.5087,14277587914.534391,4.863223690867473,5.999199277258662e+40,9.949102109621103e+38,3.385830010122604e+29,1.759482202649425e-11,-10.754615121741683,0.6891017928625636,-0.16171662016323154,0.00013610294018430002,-3.8661324927832563,9.011251854775434e-07,-6.045214872078046
7.000628637784598e-05,6.9600595713963855e+28,0.0001952697967390655,2804042.5665526763,1912086221.624296,9.281507472004607,0.0,850520951291.3677,14240713231.047213,4.86010300708485,1.1918875764967304e+41,1.9860723352347232e+39,6.768490655365931e+29,1.7594342779028568e-11,-10.754626951208564,0.6891019107503218,-0.161716545866518,0.00013610322937950331,-3.866131569983592,9.011242198200762e-07,-6.04521533747391
0.00014001257305059842,1.3920119143101832e+29,0.00024607824267679023,3534743.583887508,1911282977.7678611,9.281324991913666,0.0,838267949709.778,14182456886.591015,4.8551562569540465,2.3587665498771107e+41,3.960287231267243e+39,1.3526926010883597e+30,1.759364016778548e-11,-10.754644294640059,0.6891020833134893,-0.16171643711159964,0.00013610365528826852,-3.8661302109450304,9.011227787343854e-07,-6.045216032001979
0.00023777274552779987,1.943872919148113e+29,0.0002936601705181736,3310274.7199250422,1910266044.3991306,9.281093856026953,0.0,822981355030.2292,14109052240.495024,4.848894529313905,3.958537718884192e+41,6.702907687781672e+39,2.2952560774222333e+30,1.759281853008109e-11,-10.754664577029047,0.6891022846131224,-0.16171631024606084,0.00013610415694725699,-3.8661286101994183,9.011210462135374e-07,-6.045216866988048
0.0003355329180045885,1.9438729191399034e+29,0.0003294536504945772,2490152.4019583985,1909274664.3081286,9.28086840959478,0.0,808318520166.018,14037874576.341785,4.84279099231004,5.5298062002741565e+41,9.431692110905007e+39,3.2366331037228484e+30,1.7592065142369206e-11,-10.754683175477693,0.6891024686824577,-0.16171619423964537,0.000136104620674231,-3.866127130496466,9.011194085331423e-07,-6.045217656267367
0.0005310532629574372,3.88774583826532e+29,0.0003840816778188447,3800471.860949293,1907952586.490073,9.280567578082133,0.0,789125509188.1561,13943571492.956436,4.834652527298568,8.597725614489413e+41,1.4852598315134642e+40,5.11622312796924e+30,1.7591099121339003e-11,-10.754707024248075,0.6891027041474388,-0.16171604584208601,0.00013610521941414305,-3.866125219989191,9.011172545066378e-07,-6.04521869440164
