mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),lum_a (ergs/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23
0.0009220939529245298,7.775491676561546e+29,0.0006515312245229874,7638466.282977968,1537472740.3886528,9.186807424412503,0.0,3210816632.2761436,4113810032.461478,77.22511136356303,6.002641440735631e+39,7.622388717696715e+39,1.4206928068200418e+32,4.248264498679085e-12,-11.37178845173337,0.7020444539460574,-0.15363538716902567,0.02533651699150044,-1.5962530877690349,2.6210723394203414e-05,-4.581520992720878
0.001704175332739033,1.5550983353123092e+30,0.0008003748910436726,10355053.87984407,1534754886.3132887,9.186039024750182,0.0,3102746559.5492997,4043075618.2997966,76.79553206564906,1.0827717450386742e+40,1.3909768881256514e+40,2.614938847567181e+32,4.248269469133241e-12,-11.371787943610688,0.7020444201405753,-0.15363540808156845,0.02533656612729738,-1.5962522455307435,2.621076329717899e-05,-4.581520331555268
0.0032683380923680394,3.1101966706246184e+30,0.0009960698888081512,13614500.994474776,1530319626.9571252,9.18478214828582,0.0,2920636749.2212934,3929916315.7878923,76.09609605801654,1.9911472143918718e+40,2.613258152245338e+40,4.981677093638923e+32,4.248276231158085e-12,-11.371787252339157,0.7020443695072096,-0.15363543940407667,0.025336639813131372,-1.5962509824825308,2.621082236646246e-05,-4.581519352818607
0.006396663611626051,6.220393341249237e+30,0.0012493130345706386,17618125.650696248,1523165560.812602,9.182747111635111,0.0,2616977047.964893,3753198774.97041,74.97214036837876,3.6190098747281623e+40,4.947895419066411e+40,9.645239120905585e+32,4.2482840670571004e-12,-11.371786451288477,0.7020442957844498,-0.15363548501001106,0.025336747344273092,-1.5962491392987965,2.6210906697097436e-05,-4.581517955522864
0.01169406679045737,1.0533408769855419e+31,0.0015332749384414496,19755229.65229231,1512864507.643358,9.179800034290357,0.0,2176377334.32779,3510813855.5790405,73.36315050770871,5.911477084720452e+40,8.64597916463503e+40,1.7372879650326804e+33,4.248288444149601e-12,-11.371786003826369,0.7020442023318193,-0.1536355428211274,0.025336884219932427,-1.5962467931340667,2.621101014729568e-05,-4.581516241436354
0.020678008855341212,1.7863759079594459e+31,0.0018638325275154963,22996891.471881434,1498526487.1344671,9.175664423701201,0.0,1603311593.8927295,3196039394.767087,71.14257989971803,8.775594289002482e+40,1.4355306940336242e+41,3.0081618726620427e+33,4.248281249278162e-12,-11.371786739345072,0.7020440901125071,-0.15363561224158806,0.0253370495947024,-1.5962439584873505,2.621112888795307e-05,-4.581514274007583
0.029131260456858873,1.6808528923951825e+31,0.0020982580995745426,16308987.048147842,1483964196.5419848,9.171423422889218,0.0,1116020490.1003778,2900985664.799889,68.91066453488658,1.0651460557759991e+41,1.9231437085812095e+41,4.166448770665425e+33,4.248257273351049e-12,-11.371789190369762,0.7020439959401024,-0.153635670497984,0.02533718954309309,-1.596241559682164,2.6211223167001253e-05,-4.581512711892616
0.04550707319652958,3.256182769226411e+31,0.0024526011238975003,24651644.20214817,1465381440.999752,9.165950686914712,0.0,660745491.1678468,2559250084.9166985,66.09821906834664,1.2802968640944776e+41,2.7564823114459077e+41,6.318727590734454e+33,4.248209860984886e-12,-11.37179403730877,0.7020438802348489,-0.1536357420749187,0.02533736249970158,-1.5962385951132572,2.621133614230669e-05,-4.581510840005688
0.05427617779527305,1.7436574141325184e+31,0.002610255098600019,10967987.020054221,1449015173.0699127,9.161072933121993,0.0,398489790.63711476,2286048457.694527,63.65567964974748,1.3497798318845297e+41,3.155090845678435e+41,7.428664568463721e+33,4.2481516162793215e-12,-11.371799991705673,0.7020437878117674,-0.1536357992491753,0.02533750173143301,-1.596236208621509,2.621142901492497e-05,-4.581509301206065
0.07330535259609616,3.783779900519528e+31,0.0029064219448760135,20604327.495420963,1431881982.574926,9.155907224376417,0.0,227109462.80354658,2027771183.9887674,61.13465321552031,1.4357130539419145e+41,3.922354830561373e+41,9.741865289084894e+33,4.2480871201351875e-12,-11.371806585286755,0.7020436968093503,-0.15363585554459563,0.02533763921227434,-1.5962338521536374,2.621152432044881e-05,-4.581507722101476
