slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,20.0,-9.0,1e-05,9465355.363060286,1e-05,521237.4603805087,4199.619137978376,1.4710470949862116e+16,0.0,0.0,0.0,4.639094118748517e+18,0.0,0.0,0.002516000525170997,0.006102550859362312,0.0013255474742222603,0.0
94.0,20.0,-9.0,1000.0,9464355.363070287,93.9532303922067,813211.7349396395,4461.668192214447,2.213395138619743e+19,0.0,0.0,0.0,6.558088540250114e+28,0.0,0.0,0.002516000525170998,0.006102550859362312,0.0013255474742222603,0.0
95.0,20.0,-9.0,1112.743876470648,9464242.619193817,112.74387647064805,833762.4535351875,4113.061960396415,1.0312987831691359e+21,0.0,0.0,0.0,3.7323543121560507e+30,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785186,1.0000000000000002e-99
96.0,20.0,-9.0,1231.1249467648283,9464124.238123521,118.38107029418045,856383.3871916978,4119.436662530449,1.6328122378128612e+21,0.0,0.0,0.0,9.828075797831168e+30,0.0,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785186,9.862886675528199e-100
97.0,20.0,-9.0,1355.425070573718,9463999.937999712,124.30012380888948,880717.6212678557,4128.504247039256,2.509248889813698e+21,0.0,0.0,0.0,1.9664152547588906e+31,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.052289084292864e-99
98.0,20.0,-9.0,1454.8651696208296,9463900.497900667,99.4400990471116,900892.0926834552,4135.282719739523,3.4619376730321883e+21,0.0,0.0,0.0,3.052059163358186e+31,0.0,0.0,0.002488995312584066,0.006083494621983942,0.0012321516160785184,8.158693280297519e-100
99.0,20.0,-9.0,1539.7643560668103,9463815.59871422,84.89918644598059,918694.4005007325,4141.1637003828855,4.510417052562422e+21,0.0,0.0,0.0,4.259669539644123e+31,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0549947825728985e-99
100.0,20.0,-9.0,1618.732595621149,9463736.630474666,78.96823955433857,935801.1202039421,4146.576030833244,5.740041065892444e+21,0.0,0.0,0.0,5.689136305541595e+31,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0549947825728985e-99
101.0,20.0,-9.0,1695.2975402206291,9463660.065530065,76.56494459948019,952950.6410994397,4151.775040643873,7.238220635003501e+21,0.0,0.0,0.0,7.43684238384575e+31,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0549947825728983e-99
102.0,20.0,-9.0,1771.0226634077217,9463584.34040688,75.72512318709244,970512.6554300786,4156.892247487044,9.109716235883626e+21,0.0,0.0,0.0,9.612304097738225e+31,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0549947825728985e-99
103.0,20.0,-9.0,1846.6030400776972,9463508.76003021,75.58037666997552,988673.4434858718,4160.298089990195,1.1485614156690315e+22,0.0,0.0,0.0,1.234990340048079e+32,0.0,0.0,0.0024889953125840675,0.006083494621983944,0.0012321516160785186,1.0549947825729084e-99
104.0,20.0,-9.0,1925.9624355811716,9463429.400634706,79.3593955034743,1008505.1542899762,4164.395858046957,1.472275267205098e+22,0.0,0.0,0.0,1.6034534169422264e+32,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0549947825729084e-99
105.0,20.0,-9.0,2009.2898008598197,9463346.073269427,83.32736527864802,1030253.2069859958,4169.49505034963,1.9263362861388884e+22,0.0,0.0,0.0,2.1096583376392588e+32,0.0,0.0,0.0024889953125840675,0.006083494621983942,0.0012321516160785188,1.0549947825729084e-99
106.0,20.0,-9.0,2089.089476694961,9463266.273593592,79.79967583514134,1052009.3590591708,4174.031824034892,2.51516572565759e+22,0.0,0.0,0.0,2.742615531688015e+32,0.0,0.0,0.0024889953125840675,0.006083494621983944,0.0012321516160785186,1.0549947825729084e-99
107.0,20.0,-9.0,2167.188867345989,9463188.174202941,78.09939065102772,1074260.850502599,4177.280376961,3.299409415226674e+22,0.0,0.0,0.0,3.555241060639451e+32,0.0,0.0,0.0024889953125840675,0.006083494621983944,0.0012321516160785186,1.0549947825729082e-99
108.0,20.0,-9.0,2244.3793365257116,9463110.98373376,77.19046917972283,1097289.8107981232,4181.881552670863,4.367209525667746e+22,0.0,0.0,0.0,4.618341545388915e+32,0.0,0.0,0.0024889953125840675,0.006083494621983942,0.0012321516160785188,1.0549947825729084e-99
109.0,20.0,-9.0,2320.982464754258,9463034.380605532,76.60312822854632,1121248.2005096707,4186.189009604879,5.8448922052904624e+22,0.0,0.0,0.0,6.03032503400069e+32,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0549947825729084e-99
110.0,20.0,-9.0,2397.0926456540105,9462958.270424632,76.11018089975241,1146227.9158558082,4190.159963992736,7.91831490542608e+22,0.0,0.0,0.0,7.930887422368766e+32,0.0,0.0,0.0024889953125840675,0.006083494621983944,0.0012321516160785186,1.0549947825729084e-99
111.0,20.0,-9.0,2472.708748505168,9462882.654321782,75.61610285115778,1172271.223547417,4192.994621653639,1.0861030820512186e+23,0.0,0.0,0.0,1.0520840784453051e+33,0.0,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,1.0549947825729082e-99
112.0,20.0,-9.0,2547.798856811302,9462807.564213475,75.09010830613411,1199480.9375063118,4198.550991287553,1.5102442012302697e+23,0.0,0.0,0.0,1.4097161963007454e+33,0.0,0.0,0.0024889953125840675,0.006083494621983944,0.0012321516160785184,1.0549947825729084e-99
113.0,20.0,-9.0,2622.3001549335327,9462733.062915353,74.5012981222304,1227897.2896701528,4205.900246019855,2.1290566126106127e+23,0.0,0.0,0.0,1.9099322856917493e+33,0.0,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,1.0549947825729084e-99
114.0,20.0,-9.0,2696.131382719508,9462659.231687568,73.8312277859754,1257896.5722367389,4228.903330416542,3.066662050818792e+23,0.0,0.0,0.0,2.6239559681319665e+33,0.0,0.0,0.0024889953125840675,0.006083494621983942,0.0012321516160785186,1.0549947825729082e-99
115.0,20.0,-9.0,2769.0958772070876,9462586.267193079,72.96449448757947,1289434.4915270214,4262.937621545847,4.501960863051966e+23,0.0,0.0,0.0,3.6598608985195176e+33,0.0,0.0,0.0024889953125840675,0.006083494621983944,0.0012321516160785186,1.0549947825729084e-99
