slice,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1296.0,10125967.122501224,987358.5165224969,54.39348899770197,3237.5660704581906,3237.566070382745,1.927386266393499e+30,2.3919137397469276e+31,0.0,0.09386802536200524,0.20305235176203099,0.005466138609409847,9.58961721155679e-10
1297.0,10126024.235664671,987301.4033590499,57.11316344758706,3236.4552563541793,3236.4552562791096,4.4808080601936696e+21,2.4806097250222457e+31,0.0,0.09386787681968954,0.20305304762343657,0.005466095019521276,1.969561343247478e-09
1298.0,10126084.20448629,987241.4345374312,59.96882161996642,3235.8911992896137,3235.891199214887,4.5129657672378776e+21,2.5856947611799524e+31,0.0,0.0938677760457811,0.20305348592630496,0.005466067006222649,3.035834259619375e-09
1299.0,10126139.448143609,987186.1908801123,55.24365731918516,3235.3802001456543,3235.380200071232,2.3662297891816553e+26,2.686596930370884e+31,8.442461274965343e+19,0.09386766851042057,0.20305390358249534,0.005466037041476854,4.0217695456818845e-09
1300.0,10126191.3771141,987134.2619096208,51.92897049170686,3234.10550044365,3234.105500369795,6.825380077864343e+21,2.7802238473324486e+31,0.0,0.09386762998309552,0.20305409612667719,0.00546602494324758,4.951069504145173e-09
1301.0,10126242.324958993,987083.3140647281,50.94784489219876,3233.6428901832655,3233.6428901097047,1.4952460246315606e+22,2.873761529566467e+31,1.0702821991964572e+20,0.09386757548276256,0.20305432565143558,0.00546600977105869,5.865011527108827e-09
1302.0,10126295.82019613,987029.8188275918,53.495237136808704,3233.131399953472,3233.1313998802375,1.3239052932372402e+22,2.9745310539528767e+31,0.0,0.09386754599353836,0.2030544892231936,0.005465999618132221,6.8262909185045286e-09
1303.0,10126351.990195123,986973.6488285977,56.16999899364914,3232.5506043391415,3232.550604266396,1.0255869049694785e+23,3.0867257469227365e+31,0.0,0.09386752077593262,0.20305465095281602,0.005465989442755566,7.83738507989335e-09
1304.0,10126405.959073102,986919.6799506191,53.96887797748815,3231.9509972304427,3231.950997157971,2.7369667175037354e+22,3.1979960356337335e+31,2.057868083354473e+21,0.0938675185751437,0.2030547494849699,0.00546598406933086,8.810028061592232e-09
1305.0,10126458.620392356,986867.0186313652,52.66131925438095,3231.3355509197877,3231.335550847737,3.3176779765339774e+22,3.309476744505221e+31,0.0,0.09386752647564592,0.20305482455938662,0.005465980474106838,9.759955370715998e-09
