slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,30.000000000000004,-10.0,1e-05,6693216.7284996305,1e-05,460565.13058688067,4143.892233783187,1713401661886875.2,0.0,0.0,0.0,5.40338348092645e+17,0.0,0.0,0.002516000525170998,0.006102550859362312,0.0013255474742222603,0.0
100.0,30.000000000000004,-10.0,835.6484182211358,6692381.080091409,55.7853000731848,845505.483050643,4456.362643237043,3.5414733935069516e+19,0.0,0.0,0.0,6.23032015034506e+28,0.0,0.0,0.0025160005251709974,0.006102550859362311,0.00132554747422226,0.0
103.0,30.000000000000004,-10.0,1000.0,6692216.72850963,17.078389585656346,928499.7203485082,4482.8919903551905,1.3670262482804856e+20,0.0,0.0,0.0,1.359290608402314e+29,0.0,0.0,0.002516000525170997,0.006102550859362311,0.00132554747422226,0.0
104.0,30.000000000000004,-10.0,1020.4940675027875,6692196.234442127,20.494067502787615,937678.0836984614,4126.78037072471,2.8109897651399975e+19,0.0,0.0,0.0,1.5409651335014374e+29,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.0000000000000002e-99
105.0,30.000000000000004,-10.0,1042.0128383807146,6692174.71567125,21.518770877926997,948037.006499045,4123.924543683667,3.266051719474268e+19,0.0,0.0,0.0,1.762604615282997e+29,0.0,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785182,9.197579148306916e-100
106.0,30.000000000000004,-10.0,1064.607547802538,6692152.120961827,22.59470942182335,959452.7176149918,4123.450135869924,3.823598340243242e+19,0.0,0.0,0.0,2.0350538747666144e+29,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.035069672661798e-99
107.0,30.000000000000004,-10.0,1088.3319926954523,6692128.396516935,23.724444892914516,971132.5115804857,4122.330658264336,4.53161162082423e+19,0.0,0.0,0.0,2.374097316708399e+29,0.0,0.0,0.002488995312584066,0.006083494621983941,0.001232151616078518,1.0350704357423752e-99
108.0,30.000000000000004,-10.0,1113.2426598330128,6692103.485849797,24.910667137560246,983837.6347621861,4122.680362402729,5.435761827844566e+19,0.0,0.0,0.0,2.801121415768466e+29,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785186,1.0350704357423758e-99
109.0,30.000000000000004,-10.0,1139.3988603274508,6692077.329649302,26.15620049443826,997693.488412703,4123.263922796673,6.606511002530785e+19,0.0,0.0,0.0,3.346067363188688e+29,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,9.58280083001111e-100
110.0,30.000000000000004,-10.0,1166.862870846611,6692049.865638783,27.464010519160176,1012836.6479896324,4123.959789324633,8.144329795671921e+19,0.0,0.0,0.0,4.051451868058242e+29,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.0269689371096829e-99
