slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1282.0,15.0,-9.0,14684586.426644888,16968.016943920404,71.86718336986682,330667992.9919508,3215.2040512845474,8.850282802847411e+37,3.0943826482294e+36,2.962916491806869e+31,2.0058311873917964e+47,7.013119648047432e+45,6.71516429168978e+40,0.08582009730346311,0.17425192758373884,0.0031214361065540204,3.733934504051385e-05
1283.0,15.0,-9.0,14684661.887187425,16892.55640138313,75.46054253836016,332454168.7825659,3213.0489344279454,8.980457016330733e+37,3.210764696419242e+36,3.206054869537487e+31,4.142931799851529e+47,1.4653852393278297e+46,1.4344688950410933e+41,0.08582009871135225,0.17425202423969835,0.003121442690735353,3.734138152373367e-05
1284.0,15.0,-9.0,14684741.12075709,16813.32283171825,79.23356966527818,333974392.237619,3211.3949517436868,9.119804015632053e+37,3.338296367931031e+36,3.497753056138419e+31,6.421706214947769e+47,2.299528641994221e+46,2.308455897501969e+41,0.08582011140690457,0.17425212624746944,0.003121448431123963,3.734360050259799e-05
1285.0,15.0,-9.0,14684824.31600524,16730.127583568916,83.19524814854208,335866305.0255234,3209.8658622285293,9.291560996816046e+37,3.477076105211427e+36,3.810081318280738e+31,8.859482291224804e+47,3.211790095972034e+46,3.3080861092131793e+41,0.08582012555610126,0.17425223371467188,0.0031214723183845554,3.734598968849958e-05
1286.0,15.0,-9.0,14684911.671015795,16642.77257301286,87.35501055596919,337853327.25412863,3207.3508360028113,9.436024320855507e+37,3.6287191291537376e+36,4.175119459081522e+31,1.1458944326727113e+48,4.211439661614626e+46,4.458259546513665e+41,0.08582016970105556,0.174252347042478,0.003121480797502528,3.734861316936309e-05
1287.0,15.0,-9.0,14684988.751567775,16565.692021032795,77.08055198005836,339677800.33366996,3205.7375488034204,9.597573431797481e+37,3.767257768137365e+36,4.589387043424756e+31,1.3791934269300257e+48,5.127189308814666e+46,5.573853388120792e+41,0.08582021029962732,0.17425246474028652,0.0031214907243262966,3.735098579633605e-05
1288.0,15.0,-9.0,14685060.6404202,16493.803168607876,71.88885242480774,341102938.2518644,3204.2608740468113,9.734749384376058e+37,3.901290444026055e+36,4.993483606892602e+31,1.5998886501103627e+48,6.011645735209695e+46,6.7059194902427946e+41,0.08582026856406216,0.17425257086863863,0.003121497623424853,3.735325723851051e-05
1289.0,15.0,-9.0,14685136.123715246,16418.319873562083,75.48329504604813,342837212.4088592,3202.158423207388,9.888236795744211e+37,4.0467296214785454e+36,5.394011829999076e+31,1.8352723120153367e+48,6.974945923826648e+46,7.989932285577936e+41,0.08582035064273673,0.17425268268278776,0.0031215036690353717,3.735570015599561e-05
1290.0,15.0,-9.0,14685215.381175043,16339.062413765118,79.25745979835052,344661940.3235008,3200.4605892184068,1.0060497440994257e+38,4.204983138656944e+36,5.844641270506052e+31,2.0867307485415883e+48,8.025966006946342e+46,9.450778893370532e+41,0.08582046151027986,0.17425280084217884,0.003121510962437432,3.735832185813297e-05
1291.0,15.0,-9.0,14685289.145365028,16265.298223780468,73.76418998280793,346423726.1105743,3198.7524351879947,1.0224981283157799e+38,4.3568527418569527e+36,6.356042723644362e+31,2.324587074539462e+48,9.03946907105348e+46,1.0929339027873455e+42,0.0858205897023186,0.1742529139845137,0.0031215156345052383,3.736081074318252e-05
1292.0,15.0,-9.0,14685359.804160366,16194.639428442344,70.65879533949052,348155177.5284801,3196.6969791627816,1.0394922889087983e+38,4.506508656903932e+36,6.857300919177804e+31,2.556216701553702e+48,1.0043652488739886e+47,1.2457348490936358e+42,0.08582073665442902,0.17425302664264172,0.003121519958903416,3.736323848200973e-05
1293.0,15.0,-9.0,14685428.064204015,16126.379384793341,68.26004364752366,349615835.101709,3194.886168002592,1.0561931297631982e+38,4.6564784739623097e+36,7.4068981260132885e+31,2.7835779821788277e+48,1.104602873907657e+47,1.4051793480147556e+42,0.08582090403311528,0.17425313951978857,0.003121524170025106,3.736561920896856e-05
1294.0,15.0,-9.0,14685499.737249844,16054.706338964403,71.67304582989985,351282536.2082468,3193.4841209202605,1.0798099640104439e+38,4.8184558374862714e+36,7.92865572600198e+31,3.0276453954173895e+48,1.2135135240457352e+47,1.5843892606846945e+42,0.08582109133391473,0.17425324978492907,0.0031215717490032566,3.736809459925593e-05
1295.0,15.0,-9.0,14685574.993947966,15979.449640842155,75.25669812139483,352772359.7091505,3191.5538835868338,1.0958602191148103e+38,4.994424760363239e+36,8.546158489800526e+31,3.287725378708967e+48,1.3320459687470812e+47,1.7872148326385594e+42,0.08582135461032037,0.17425337772337976,0.00312157855315284,3.7370774544632346e-05
1296.0,15.0,-9.0,14685654.013480991,15900.430107817054,79.01953302746459,354625555.8438695,3189.593363229279,1.1191357279992405e+38,5.1849012050430104e+36,9.218162965502927e+31,3.5666095248620845e+48,1.4612516324820587e+47,2.0169277658795147e+42,0.0858216851310465,0.17425351867414393,0.003121583574046055,3.737362878309403e-05
1297.0,15.0,-9.0,14685736.983990671,15817.459598137066,82.97050967883781,356548884.0003553,3187.902887211799,1.1454614912554367e+38,5.391815501760346e+36,9.996573642908707e+31,3.866326166950451e+48,1.602331611973682e+47,2.2784939125823488e+42,0.08582209885393133,0.1742536753302502,0.0031215887009452886,3.737665168082436e-05
1298.0,15.0,-9.0,14685813.218747161,15741.22484164685,76.23475649008422,358384355.0091779,3186.4603001574005,1.1716891905944065e+38,5.587593441932589e+36,1.0849375389040019e+32,4.148016567735048e+48,1.7366651407553966e+47,2.539328008017744e+42,0.08582254412670184,0.1742538271039115,0.0031215937786761663,3.7379443444129496e-05
