mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),lum_a (ergs/s),num_a (/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23,X_h1,log X_h1,X_he3,log X_he3,X_he4,log X_he4,lum_nuc (ergs/s)
9.765715701260151e-08,1.9418245129577416e+26,1.4055048788376776e-05,977809.7442073723,89512693.08930984,7.951884623559289,10.955958887195951,1.0525231605021535e-16,6.925480994737656,7.42456273556995e-19,7.094954248928141e+26,1.3448068759604544e+27,144171979.17922318,204511412593228.38,0.07945796683024715,-1.099862551861846,0.38579672670753234,-0.41364146144819186,0.4162730248575217,-0.3806217311624632,0.05120124915303492,-1.2907194434450207,0.0,-98.99999999999999,1.4021562708685363e-43,-42.8532035813809,3.2652360363917526e-22,-21.486085419106427,20438152735.188374
1.9531440450771714e-07,1.9418263486449038e+26,1.77083129349709e-05,254157.58667855302,89512409.71383712,7.951883248686133,10.955889108518276,1.0524630971953746e-16,6.925494692442619,7.423223609531667e-19,1.4189755690304195e+27,2.6896176830790057e+27,288318091.1479384,408986131927538.1,0.07945795714878076,-1.0998626047779707,0.3857967160542131,-0.4136414734407192,0.41627304199640774,-0.38062171328159405,0.051201259482475184,-1.2907193558296104,0.0,-98.99999999999999,1.4024568627214074e-43,-42.85311048805409,3.2654178394214703e-22,-21.48606123896945,40875158466.29238
3.9062890115435564e-07,3.883652730225972e+26,2.231120223374773e-05,320223.0085159042,89512072.33937036,7.951881611816498,10.955806134908945,1.0523915570022241e-16,6.925511002149281,7.421629607834948e-19,2.837897824580233e+27,5.379245654249712e+27,576548412.0398793,817847759640457.8,0.07945794562625105,-1.099862667756829,0.38579670337493605,-0.41364148771388415,0.4162730623945658,-0.3806216920003523,0.0512012717762489,-1.290719251552538,0.0,-98.99999999999999,1.402805917332997e-43,-42.853002410840396,3.2656341913585826e-22,-21.48603246551855,81746391902.47687
7.812579391983231e-07,7.76730635027909e+26,2.8110608227655456e-05,403464.67499616067,89511536.78845538,7.9518790134239365,10.955674172203436,1.0522779774695013e-16,6.925536895355784,7.419099954810898e-19,5.675621748037518e+27,1.0758522324888622e+28,1152812633.9634593,1635292388780382.0,0.07945792733696448,-1.0998627677208679,0.3857966832493504,-0.41364151036941993,0.41627309477202995,-0.3806216582211944,0.05120129128983246,-1.2907190860363358,0.0,-98.99999999999999,1.4033670071763354e-43,-42.852828737846885,3.265977585916561e-22,-21.4859868001095,163480046069.05383
1.5625162290764798e-06,1.5534616951584057e+27,3.5417659167158767e-05,508351.53386124526,89510686.64945352,7.9518748886770725,10.95546460696045,1.0520976761992586e-16,6.925578006656727,7.415086065871317e-19,1.1350687186295247e+28,2.1517142475061357e+28,2304717850.926852,3269297584768162.0,0.07945789830626904,-1.0998629263944397,0.38579665130327795,-0.4136415463313765,0.41627314616553995,-0.3806216046027485,0.051201322264195465,-1.2907188233087654,0.0,-98.99999999999999,1.4042634209210723e-43,-42.85255141676347,3.266522696214489e-22,-21.485914319930476,326919390023.1258
3.125032789658837e-06,3.106923352191127e+27,4.462447681904242e-05,640518.3040415458,89509337.12673566,7.951868340914904,10.95513178459753,1.0518114253019456e-16,6.925643288316417,7.40871866412994e-19,2.269959827090299e+28,4.303458533647737e+28,4606549953.666808,6534501666475255.0,0.07945785222403697,-1.0998631782670079,0.3857966005917442,-0.4136416034177733,0.4162732277470935,-0.38062151948936707,0.05120137143257778,-1.2907184062580737,0.0,-98.99999999999999,1.4054509817188914e-43,-42.85218429679452,3.2673879307418216e-22,-21.485799299507203,653709137960.3306
6.250065910823551e-06,6.213846704382254e+27,5.622536192021155e-05,807073.5764883361,89507194.86567324,7.951857946655246,10.954603392697782,1.051356955046472e-16,6.925746971085369,7.398621748551534e-19,4.5393547481493935e+28,8.607011532814158e+28,9203940090.58759,1.305600991306067e+16,0.07945777907152705,-1.0998635780984294,0.3857965200866285,-0.4136416940430694,0.41627335725605646,-0.3806213843737376,0.05120144948628333,-1.2907177442002649,0.0,-98.99999999999999,1.4075321359317393e-43,-42.8515416808116,3.268761299776698e-22,-21.485616792474023,1307006232984.8188
1.250013215315298e-05,1.2427693408764508e+28,7.084360558150611e-05,1016991.211516263,89503794.16995952,7.951841445954465,10.953764597794176,1.0506353721634603e-16,6.925911695155586,7.382620835608795e-19,9.0769148624398e+28,1.7214322245171165e+29,18378834920.397884,2.607081842662249e+16,0.07945766293988668,-1.0998642128426677,0.3857963922727003,-0.4136418379243385,0.41627356286425327,-0.38062116986449335,0.05120157340409361,-1.2907166931215037,0.0,-98.99999999999999,1.4109945607359189e-43,-42.85047466041073,3.2709412237821657e-22,-21.485327259732067,2612703661949.8867
2.5000264637811835e-05,2.4855386817529016e+28,8.92655288992328e-05,1281613.2052142452,89498395.73046383,7.951815250604723,10.952433204127045,1.0494896808930244e-16,6.926173526310288,7.357288717813287e-19,1.814813022427982e+29,3.442959446134828e+29,36665660621.347015,5.2011119567235656e+16,0.0794574785653988,-1.0998652205858181,0.3857961893262523,-0.41364206638304735,0.4162738893177285,-0.3806208292786384,0.05120177015374753,-1.2907150242836312,0.0,-98.99999999999999,1.4161407101062156e-43,-42.84889359227718,3.274401667222806e-22,-21.484868047233576,5221250859910.008
5.000052960823973e-05,4.971077363726553e+28,0.00011248388373114959,1615300.9456564514,89489825.81013408,7.951773662738433,10.950319792974627,1.0476696858504984e-16,6.926590035139369,7.317246634959271e-19,3.627815963307547e+29,6.886220939284352e+29,73040259733.19734,1.0360936139777403e+17,0.07945718582419482,-1.0998668206381481,0.3857958670348887,-0.4136424291896875,0.41627440770333657,-0.3806202884523347,0.05120208257791739,-1.2907123743033937,0.0,-98.99999999999999,1.423304584028687e-43,-42.84670215191276,3.2798926580706797e-22,-21.484140369328077,10429297919903.93
