slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1296.0,20.0,-8.0,10125967.122501224,10700.122559759766,54.39348899770197,350257471.742374,3237.5660703828366,7.180222683664861e+37,6.882948267028504e+36,4.7489548255702564e-17,1.2316617016754323e+47,1.1806686433832592e+46,8.146134234734031e-08,0.09386802536200528,0.20305235176203068,0.005466138609409867,9.589617210125896e-10
1297.0,20.0,-8.0,10126024.235664671,10643.009396312758,57.11316344758706,351999767.8804816,3236.4552562792305,5.334917721400537e+37,7.138037119922667e+36,5.481028197045893e+22,2.192544787751118e+47,2.4663153008378936e+46,9.871993466213575e+31,0.09386787681968961,0.20305304762343623,0.0054660950195212984,1.96956134296906e-09
1298.0,20.0,-8.0,10126084.20448629,10583.040574694052,59.96882161996642,353995044.4998815,3235.8911992150597,4.810643247987121e+37,7.41699936605081e+36,1.6244914738585732e+23,3.102322458205537e+47,3.869000982805902e+46,4.059399866538346e+32,0.09386777604578116,0.2030534859263046,0.005466067006222672,3.0358342592124316e-09
1299.0,20.0,-8.0,10126139.448143633,10527.796917350963,55.24365734290769,355846606.7397096,3235.3802000711576,4.952400815658522e+37,7.681190638885107e+36,1.0322781799465333e+23,3.965111888754477e+47,5.207190346701381e+46,5.857797726881435e+32,0.09386766851042062,0.20305390358249506,0.005466037041476874,4.021769545593357e-09
1300.0,20.0,-8.0,10126191.37711413,10475.867946853861,51.92897049783374,357511442.16611344,3234.105500369663,4.473318500474525e+37,7.942200698121425e+36,1.7920126059234093e+23,4.697676847103906e+47,6.507830558885006e+46,8.792454939151646e+32,0.09386762998309554,0.20305409612667694,0.005466024943247596,4.951069504079057e-09
1301.0,20.0,-8.0,10126242.324959023,10424.920101961121,50.94784489355562,359127319.64960355,3233.6428901095555,4.662122432229948e+37,8.206736438503195e+36,2.8123209450433994e+23,5.446735972668749e+47,7.826399710537678e+46,1.3310986355955928e+33,0.09386757548276263,0.20305432565143522,0.005466009771058719,5.865011526991585e-09
1302.0,20.0,-8.0,10126295.820196161,10371.424864822999,53.4952371382334,360818262.1671313,3233.131399880473,4.517829029736781e+37,8.493018299766744e+36,3.398198908531395e+23,6.208905385257471e+47,9.259193808329293e+46,1.9043835582713646e+33,0.0938675459935384,0.20305448922319294,0.005465999618132262,6.826290917809679e-09
1303.0,20.0,-8.0,10126351.990195157,10315.254865827039,56.16999899514507,362643301.26647973,3232.550604266775,4.562526643234544e+37,8.80489942355449e+36,4.809111938197877e+23,7.01710090132084e+47,1.0818873518705916e+47,2.7562586285159766e+33,0.09386752077593258,0.20305465095281539,0.005465989442755603,7.837385078652612e-09
1304.0,20.0,-8.0,10126405.959073422,10261.285987561569,53.9688782650147,364397588.36211807,3231.9509971553816,4.476061525787829e+37,9.115126780331445e+36,5.190261681276738e+23,7.778909807906043e+47,1.2370233955979529e+47,3.639621726526246e+33,0.0938675185751436,0.2030547494849697,0.005465984069330872,8.81002806504541e-09
1305.0,20.0,-8.0,10126458.620392816,10208.624668167904,52.6613193929804,366103104.0313242,3231.335550843237,4.483623673709083e+37,9.428556783153196e+36,1.1367757156951314e+24,8.523517462349227e+47,1.393606018538747e+47,5.527496269287536e+33,0.09386752647564582,0.20305482455938653,0.005465980474106846,9.75995537624683e-09
1306.0,20.0,-8.0,10126510.808061419,10156.43699956499,52.187668604545905,367796047.9837646,3230.688586454464,4.515342326814213e+37,9.748823714237398e+36,2.093411893468668e+24,9.26664813034134e+47,1.554051215260078e+47,8.972813293287377e+33,0.09386754163581638,0.20305488698401708,0.0054659778783858375,1.0701754443837509e-08
1307.0,20.0,-8.0,10126562.909053415,10104.336007568985,52.10099199491864,369489456.5407738,3230.0138475832878,4.560039300830573e+37,1.0079018435048486e+37,3.3608473019868336e+24,1.001588852659096e+48,1.7196552214515924e+47,1.4494876587383186e+34,0.0938675632626097,0.20305494137774785,0.0054659759578737956,1.1642201058484712e-08
1308.0,20.0,-8.0,10126617.61509501,10049.629965974018,54.706041594664576,371273416.29824114,3229.265104832784,4.6141723521572485e+37,1.0436415736544007e+37,5.022198923722167e+24,1.0811930029327107e+48,1.8997052809647255e+47,2.31592230251805e+34,0.09386759284969837,0.20305499226103388,0.005465974507796057,1.2629408086494005e-08
1309.0,20.0,-8.0,10126675.056438684,9992.188622299582,57.44134367439781,373157311.86717117,3228.4105617853297,4.682066362772712e+37,1.082533568936571e+37,7.363337539206076e+24,1.1660072404994738e+48,2.0958030125556335e+47,3.6497689653933104e+34,0.09386763171391482,0.20305504102567196,0.005465973461890431,1.3665764138936532e-08
1310.0,20.0,-8.0,10126729.858960519,9937.386100465432,54.80252183353744,374961154.8430537,3227.3426239827627,4.7549075332288275e+37,1.1209411997528043e+37,1.0095860314267828e+25,1.2481840406625408e+48,2.289529936418827e+47,5.394588375070565e+34,0.09386767628324949,0.20305508480294357,0.005465972798970345,1.4654128470609637e-08
1311.0,20.0,-8.0,10126783.395350108,9883.849710876122,53.53638958912761,376759173.9344489,3226.311805274043,4.83361942499315e+37,1.1597641762994017e+37,8.530065556443602e+24,1.3297911772828317e+48,2.48533565726893e+47,6.834739458636102e+34,0.09386772758072937,0.20305512600402315,0.0054659724070758465,1.561913583002773e-08
1312.0,20.0,-8.0,10126836.124751644,9831.120309339836,52.72940153721094,378495877.4300107,3225.5741762360235,4.9178563791139485e+37,1.199098773460235e+37,1.2917351880901016e+25,1.4115689523781094e+48,2.684730723439451e+47,8.982732843374205e+34,0.09386778635215624,0.20305516586230424,0.005465972224876475,1.6568892289556734e-08
1313.0,20.0,-8.0,10126891.49062326,9775.754437724128,55.36587161407149,380326471.9123056,3224.843687215796,5.0145418610949e+37,1.2417579450781004e+37,1.932574076052932e+25,1.4991237622699296e+48,2.9015439116122016e+47,1.2357042212360694e+35,0.09386785822835786,0.20305520759861564,0.005465972224594923,1.756524726078845e-08
1314.0,20.0,-8.0,10126949.624788454,9717.620272530243,58.13416519477506,382253916.17083395,3223.6161079563954,5.125763130096675e+37,1.2880770272582306e+37,2.825763963259742e+25,1.5930953533503424e+48,3.13768952469148e+47,1.753756907061609e+35,0.09386794642690564,0.20305525198594893,0.005465972409422534,1.8610255823480195e-08
1315.0,20.0,-8.0,10127005.081603585,9662.163457399234,55.45681513071681,384093342.3448497,3222.8417827719963,5.241759780470673e+37,1.333699372311027e+37,4.081115922671968e+25,1.6847677626975947e+48,3.3709383570019365e+47,2.46749760698964e+35,0.09386804379603214,0.20305529529571822,0.005465972744024262,1.960590695139101e-08
1316.0,20.0,-8.0,10127059.33707501,9607.907985974103,54.25547142303062,385897027.00224245,3222.036593856405,5.365841479112258e+37,1.3797771404262477e+37,5.6621235414511525e+25,1.776577339745449e+48,3.6070183011746254e+47,3.436287254534976e+35,0.09386815349792897,0.2030553389526116,0.00546597322019875,2.057869807503233e-08
1317.0,20.0,-8.0,10127113.095413174,9554.149647809565,53.75833816632377,387687853.5984593,3221.186045861739,5.500333362373822e+37,1.4268733188797045e+37,7.681547882884865e+25,1.8698257536970126e+48,3.8489194099428996e+47,4.738557698126539e+35,0.09386827834961263,0.20305538377505797,0.005465973840769671,2.154119395571283e-08
1318.0,20.0,-8.0,10127166.6747699,9500.570291083306,53.57935672562419,389476164.719835,3219.537511193613,5.64713875333037e+37,1.4752752784424868e+37,1.0277110707125442e+26,1.9652442483685323e+48,4.0981935157227015e+47,6.4750590948172966e+35,0.0938684210573657,0.2030554302619611,0.005465974614019398,2.2499007092885928e-08
1319.0,20.0,-8.0,10127222.933094462,9444.311966521665,56.2583245619054,391357211.5362283,3218.6088180754723,5.816572112112891e+37,1.5277032991743025e+37,1.3619375528866059e+26,2.0684396909272588e+48,4.369232909747254e+47,8.891357660338366e+35,0.09386859389459654,0.20305548138372206,0.00546597560692165,2.350295419024565e-08
1320.0,20.0,-8.0,10127282.004335253,9385.240725731477,59.071240790000665,393335541.8874152,3217.8897066033815,6.01336993144359e+37,1.584561874549618e+37,1.818738340989919e+26,2.1804609944291945e+48,4.664416290597243e+47,1.227943193498604e+36,0.0938688044717365,0.20305553793823466,0.005465976865026116,2.455501802222188e-08
