slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,surface lum_nuc_neu (ergs/s),surface lum_non_nuc_neu (ergs/s),surface lum_plas_neu (ergs/s),surface lum_brem_neu (ergs/s),surface lum_phot_neu (ergs/s),surface lum_pair_neu (ergs/s),surface lum_reco_neu (ergs/s),surface lum_nuc_gamma (ergs/s),surface lum_grav_gamma (ergs/s),MESA surface lum_gamma (ergs/s)
110.0,11.0,-10.0,2146.0518375326087,23900823.751990393,96.81315654162454,921268.158739484,4182.163689957212,0.0,6.737691835988961e+18,0.0,0.0,0.0,1.292533942190076e+29,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0973700183493107e-99,6.737691835988961e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.1290796734282596e+20,0.0,7.387906982518407e+36
111.0,11.0,-10.0,2247.7056519013145,23900722.098176025,101.65381436870578,929163.8404614561,4186.35848405531,0.0,7.688207076848536e+18,0.0,0.0,0.0,1.5389990011277938e+29,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.097370018349311e-99,7.688207076848536e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.3144104638711538e+20,0.0,7.304682964644323e+36
112.0,11.0,-10.0,2354.4421569884553,23900615.361670937,106.73650508714107,937413.8343292082,4190.482334299021,0.0,8.806239245776585e+18,0.0,0.0,0.0,1.835420750137269e+29,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0973700183492957e-99,8.806239245776585e+18,0.0,0.0,0.0,0.0,0.0,0.0,3.8725012151821396e+20,0.0,7.220378008628379e+36
113.0,11.0,-10.0,2466.515487329953,23900503.2883406,112.07333034149812,946060.0753680492,4197.395976027244,0.0,1.0129803614651668e+19,0.0,0.0,0.0,2.1934429116767148e+29,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.0973700183492959e-99,1.0129803614651668e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.995002512723469e+22,0.0,7.154005231055167e+36
114.0,11.0,-10.0,2584.192484188526,23900385.611343738,117.67699685857303,955095.8827604458,4201.842406806543,0.0,1.169860528292432e+19,0.0,0.0,0.0,2.627585380297518e+29,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.0599895946530464e-99,1.169860528292432e+19,0.0,0.0,0.0,0.0,0.0,0.0,7.3859715531276196e+22,0.0,7.070571969849631e+36
115.0,11.0,-10.0,2707.753330890028,23900262.050497036,123.5608467015017,964537.4049673589,4206.206357746848,0.0,1.3564767845041463e+19,0.0,0.0,0.0,3.1561521400860332e+29,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,1.1971608418315217e-99,1.3564767845041463e+19,0.0,0.0,0.0,0.0,0.0,0.0,9.200875680635468e+22,0.0,6.98666430690727e+36
116.0,11.0,-10.0,2837.492219926605,23900132.311608,129.73888903657678,974457.776059764,4215.852862352712,0.0,1.5805279776753205e+19,0.0,0.0,0.0,3.8028165648158206e+29,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315215e-99,1.5805279776753205e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.138012260358006e+23,0.0,6.936341853994002e+36
117.0,11.0,-10.0,2973.71805341501,23899996.08577451,136.2258334884056,984830.2945333748,4221.10644586262,0.0,1.849469699639675e+19,0.0,0.0,0.0,4.5973520555373054e+29,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.1971608418315215e-99,1.849469699639675e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.7788605507537135e+23,0.0,6.857300911420764e+36
118.0,11.0,-10.0,3116.755178577836,23899853.04864935,143.0371251628259,995671.9342303186,4226.043708604593,0.0,2.1735113663704117e+19,0.0,0.0,0.0,5.577783644345982e+29,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,1.1971608418315217e-99,2.1735113663704117e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.9652495457205704e+23,0.0,6.776875587204992e+36
119.0,11.0,-10.0,3266.944159998803,23899702.859667927,150.18898142096722,1007010.3560143805,4231.371750655406,0.0,2.5657812856811164e+19,0.0,0.0,0.0,6.79302995703932e+29,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315219e-99,2.5657812856811164e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.727767761959876e+23,0.0,6.699920754724665e+36
120.0,11.0,-10.0,3424.6425904908187,23899545.161237437,157.69843049201558,1018864.6653096201,4236.435920807047,0.0,3.0425522218902925e+19,0.0,0.0,0.0,8.306145244354211e+29,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785184,1.197160841831522e-99,3.0425522218902925e+19,0.0,0.0,0.0,0.0,0.0,0.0,4.672238086940794e+23,0.0,6.622497902284881e+36
121.0,11.0,-10.0,3590.2259425074353,23899379.57788542,165.58335201661635,1031303.5757875667,4244.947349380305,0.0,3.626681461889966e+19,0.0,0.0,0.0,1.0199939039859803e+30,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.197160841831522e-99,3.626681461889966e+19,0.0,0.0,0.0,0.0,0.0,0.0,5.860399346975412e+23,0.0,6.567068886285492e+36
122.0,11.0,-10.0,3764.0884621248824,23899205.7153658,173.86251961744716,1044317.5216189832,4250.433993752101,0.0,4.3437510491478024e+19,0.0,0.0,0.0,1.2581586646953652e+30,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315223e-99,4.3437510491478024e+19,0.0,0.0,0.0,0.0,0.0,0.0,7.352214410919407e+23,0.0,6.494671400362982e+36
123.0,11.0,-10.0,3946.6441077232016,23899023.159720205,182.55564559831953,1057940.1630038735,4255.958594166641,0.0,5.228495998995872e+19,0.0,0.0,0.0,1.5591670923424534e+30,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.1971608418315225e-99,5.228495998995872e+19,0.0,0.0,0.0,0.0,0.0,0.0,9.221455901491524e+23,0.0,6.42494065153134e+36
124.0,11.0,-10.0,4138.327535601437,23898831.476292323,191.6834278782355,1072206.0600035088,4261.552616357833,0.0,6.325725374244348e+19,0.0,0.0,0.0,1.9415526734816515e+30,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315225e-99,6.325725374244348e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.1567582237865178e+24,0.0,6.35832104797719e+36
125.0,11.0,-10.0,4339.595134873584,23898630.208693054,201.2675992721473,1087248.51780804,4274.235401654134,0.0,7.70267678052912e+19,0.0,0.0,0.0,2.4304550492462614e+30,0.0,0.002488995312584066,0.006083494621983942,0.0012321516160785182,1.1971608418315223e-99,7.70267678052912e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.453879168963422e+24,0.0,6.334361199680027e+36
126.0,11.0,-10.0,4550.926114109339,23898418.877713818,211.33097923575468,1103018.9059013003,4280.091921566341,0.0,9.430745248808347e+19,0.0,0.0,0.0,3.0589702502838557e+30,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785182,1.197160841831522e-99,9.430745248808347e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.8564753057976965e+24,0.0,6.273768594988522e+36
127.0,11.0,-10.0,4772.823642306882,23898196.98018562,221.8975281975424,1119571.1187910042,4286.292626639902,0.0,1.1612944677622235e+20,0.0,0.0,0.0,3.871616299926359e+30,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.1971608418315223e-99,1.1612944677622235e+20,0.0,0.0,0.0,0.0,0.0,0.0,2.342427016047982e+24,0.0,6.219554306552999e+36
128.0,11.0,-10.0,5005.816046914301,23897963.98778101,232.99240460741953,1136959.5967836273,4292.290078964551,0.0,1.4385683748717745e+20,0.0,0.0,0.0,4.9286257720325534e+30,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.1971608418315219e-99,1.4385683748717745e+20,0.0,0.0,0.0,0.0,0.0,0.0,2.9543845493369597e+24,0.0,6.169540275368983e+36
129.0,11.0,-10.0,5250.458071752092,23897719.345756173,244.64202483779053,1155311.2019237112,4302.880716372987,0.0,1.7945078839644747e+20,0.0,0.0,0.0,6.313094148694318e+30,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.197160841831522e-99,1.7945078839644747e+20,0.0,0.0,0.0,0.0,0.0,0.0,3.737841045434567e+24,0.0,6.149531434096904e+36
130.0,11.0,-10.0,5507.332197831772,23897462.471630096,256.8741260796801,1174650.8116512327,4310.354553740774,0.0,2.2536229368296112e+20,0.0,0.0,0.0,8.138705060010369e+30,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.1971608418315219e-99,2.2536229368296112e+20,0.0,0.0,0.0,0.0,0.0,0.0,4.7415242802659116e+24,0.0,6.118082298138101e+36
131.0,11.0,-10.0,5777.050030215436,23897192.75379771,269.7178323836641,1195051.4379234505,4317.43987624469,0.0,2.8500520025588446e+20,0.0,0.0,0.0,1.0562908437643598e+31,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785186,1.1971608418315223e-99,2.8500520025588446e+20,0.0,0.0,0.0,0.0,0.0,0.0,6.035751137960117e+24,0.0,6.091957654455635e+36
132.0,11.0,-10.0,6060.253754218284,23896909.55007371,283.2037240028473,1216605.6358138425,4324.232785013493,0.0,3.631046120615902e+20,0.0,0.0,0.0,1.3805836628125004e+31,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785182,1.197160841831522e-99,3.631046120615902e+20,0.0,0.0,0.0,0.0,0.0,0.0,7.7244031104844e+24,0.0,6.073543540347586e+36
