slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),max T (K),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
15.0,8.999999746026454,-10.0,720.3510787293183,24899438.092435434,128.39184645488635,31476481.1307443,24835.790661058658,1.6060319137926073e+37,7.942109798988293e+28,3.014184261236898e-36,4.2756927149868094e-30,3.6784777495709686e+47,1.8011334678903425e+39,6.640290384171509e-26,31476481.1307443,0.0017154885500050266,0.006552917139310264,0.0013503022643474158,3.389604954916552e-05
16.0,8.999999691889759,-10.0,874.4212944751819,24899284.022219688,154.0702157458636,31478877.679079868,24834.23169352493,1.6026791416918248e+37,7.948639232383352e+28,3.059966177355795e-36,4.340635461767452e-30,4.4571808115723864e+47,2.1873386382195452e+39,8.127053997637139e-26,31478877.679079868,0.0017149434804366833,0.00655282090072538,0.001350302265032575,3.392422531684352e-05
17.0,8.999999627008973,-10.0,1059.3055533702181,24899099.137960795,184.8842588950363,31481745.91788874,24832.38718570419,1.5998569650050583e+37,7.956423244838681e+28,3.115637023522254e-36,4.419605893154882e-30,5.3899790130379335e+47,2.6512386902383033e+39,9.94362927626015e-26,31481745.91788874,0.0017143080641770136,0.006552705226101367,0.0013503022658588654,3.3958031479779384e-05
18.0,8.99999954927062,-10.0,1281.1666640442618,24898877.27685012,221.86111067404357,31485144.492405396,24830.18416998258,1.597779067712438e+37,7.96562951599541e+28,3.182980272345908e-36,4.5151339078492065e-30,6.507883030686223e+47,3.2085628797320487e+39,1.2170637068798797e-25,31485144.492405396,0.0017135665159351734,0.006552566148013352,0.0013503022668563084,3.399859127903176e-05
19.0,8.999999456153425,-10.0,1547.399996853114,24898611.04351731,266.23333280885225,31489119.948099952,24827.522129461093,1.5966325341791662e+37,7.976407274646343e+28,3.263859127306914e-36,4.629862504703913e-30,7.84840522983279e+47,3.878256800668883e+39,1.4910951775771372e-25,31489119.948099952,0.0017126992833693944,0.0065523988768588885,0.0013503022680616732,3.4047249738592234e-05
20.0,8.999999344652943,-10.0,1866.879996223737,24898291.56351794,319.4799993706227,31493695.91077832,24824.263428189115,1.5965444645069257e+37,7.988864576096234e+28,3.36007887779037e-36,4.7663525300387064e-30,9.456943137545954e+47,4.683144594019903e+39,1.8296271989512702e-25,31493695.91077832,0.00171168208320548,0.00655219763045723,0.0013503022695200973,3.4105615191608585e-05
21.0,8.99999921119364,-10.0,2250.2559954684843,24897908.187518697,383.3759992447472,31498859.660399526,24820.222310908004,1.597549178268724e+37,8.003038860280707e+28,3.473169227605942e-36,4.926773905420491e-30,1.1388403340359575e+48,5.650723637624341e+39,2.249538412453168e-25,31498859.660399526,0.001710484934154416,0.006551955431567052,0.001350302271287116,3.417560682242725e-05
22.0,8.99999905152667,-10.0,2710.307194562181,24897448.136319604,460.05119909369665,31504529.479947716,24815.153527298986,1.5995557124693054e+37,8.018825714696732e+28,3.603731125870895e-36,5.1119790915948854e-30,1.3709066698591145e+48,6.814108874354499e+39,2.772374016835886e-25,31504529.479947716,0.0017090712626043995,0.0065516638727674565,0.001350302273431162,3.4259507416612835e-05
23.0,8.99999886061164,-10.0,3262.368633474617,24896896.07488069,552.061438912436,31509705.87121505,24808.15382996723,1.6134671568807403e+37,8.03437835796019e+28,3.716833615191987e-36,5.272417687156598e-30,1.6518082288228545e+48,8.212878844000909e+39,3.419467670068169e-25,31509705.87121505,0.0017072664578963968,0.0065513129957189995,0.0013503022760223394,3.436022591569333e-05
24.0,8.999998632493863,-10.0,3924.8423601695404,24896233.601153996,662.4737266949231,31515465.07405619,24799.722509828563,1.6102387858622977e+37,8.051673814693714e+28,3.869718134604863e-36,5.489288047172229e-30,1.9882156356847716e+48,9.895016134867747e+39,4.227920338317512e-25,31515465.07405619,0.0017052042229121732,0.006550890664925049,0.0013503022791749842,3.44807658052518e-05
25.0,8.999998360116058,-10.0,4719.810832203449,24895438.632681962,794.9684720339078,31521421.449919496,24789.392826789404,1.609832019277016e+37,8.06992150329161e+28,4.0404280436575365e-36,5.731444150201263e-30,2.3918025470246976e+48,1.1918155602383004e+40,5.24086072905673e-25,31521421.449919496,0.0017028119740933956,0.0065503823169523285,0.0013503022830179481,3.4624884583169855e-05
26.0,8.999998035148307,-10.0,5673.772998644137,24894484.67051552,953.9621664406893,31526969.898985412,24776.639947261345,1.6106937874550134e+37,8.087988035267754e+28,4.218678778467353e-36,5.984297095546624e-30,2.876366096271521e+48,1.4351358126139958e+40,6.510014417950243e-25,31526969.898985412,0.0017000107071182685,0.006549770661972154,0.0013503022877101997,3.479693656102191e-05
27.0,8.999997647770646,-10.0,6818.527598372964,24893339.91591579,1144.754599728827,31531586.2986992,24761.01779015473,1.611523023748189e+37,8.10460170053037e+28,4.394126678614596e-36,6.2331741526550916e-30,3.4581417178048266e+48,1.727719885079764e+40,8.096337257819604e-25,31531586.2986992,0.0016967175490804583,0.0065490352378357545,0.0013503022934483317,3.500192381509164e-05
28.0,8.999997186403897,-10.0,8192.233118047558,24891966.21039612,1373.7055196745926,31534684.944534842,24742.25245259945,1.6112126559352739e+37,8.118337451636011e+28,4.553287714161197e-36,6.458947901442797e-30,4.156138008654376e+48,2.0794158209472488e+40,1.0068875100014292e-24,31534684.944534842,0.0016928476304090933,0.006548151976586309,0.0013503023004753656,3.524552147521227e-05
29.0,8.999996637365875,-10.0,9840.679741657068,24890317.763772506,1648.446623609511,31535774.204735227,24720.402964032266,1.6089627892799063e+37,8.127864797821583e+28,4.6833004147423013e-36,6.643374037521908e-30,4.992563955207345e+48,2.5019462270118344e+40,1.2503508149636219e-24,31535774.204735227,0.0016883157975537398,0.006547092670097114,0.0013503023090924555,3.553409054883446e-05
30.0,8.999995984412791,-10.0,11818.815689988482,24888339.627824176,1978.1359483314131,31536553.258142494,24696.065766951517,1.6042362093113417e+37,8.13204382676178e+28,4.781512345567209e-36,6.78269001848338e-30,5.993326532545747e+48,3.0092434125424177e+40,1.5486334862280594e-24,31536553.258142494,0.0016830379985946153,0.006545824398569154,0.0013503023196730609,3.5874661991242974e-05
31.0,8.999995208111772,-10.0,14192.578827986177,24885965.86468618,2373.763137997695,31530338.281792507,24668.640204338826,1.6041007032689901e+37,8.125513429965244e+28,4.6878049118502566e-36,6.649763774777474e-30,7.19414018689128e+48,3.617511176242419e+40,1.8995578474970353e-24,31530338.281792507,0.0016764790569033263,0.006544310066723761,0.0013503023324453343,3.6278720989237884e-05
32.0,8.999994285156012,-10.0,17041.094593583413,24883117.34892058,2848.5157655972343,31525457.486689173,24643.774535677763,1.5864725943901217e+37,8.119945132069925e+28,4.721735445770461e-36,6.697895051476097e-30,8.619281102076717e+48,4.3469322880658002e+40,2.3237150877950105e-24,31525457.486689173,0.0016694269982282122,0.006542501461310173,0.001350302348197499,3.67520567041824e-05
33.0,8.999993186740596,-10.0,20459.313512300094,24879699.130001865,3418.218918716681,31520345.84929157,24621.958072339457,1.5757458378923996e+37,8.11238302952785e+28,4.7684258910656576e-36,6.764126568698021e-30,1.0317887083765474e+49,5.221422450650467e+40,2.8377368638345517e-24,31520345.84929157,0.001661510609224795,0.006540342025433683,0.0013503023677015147,3.730426082020155e-05
34.0,8.999991877642818,-10.0,24561.17621476011,24875597.267299406,4101.862702460017,31515575.509359155,24604.657009454906,1.567036390150004e+37,8.10408651791447e+28,4.843493085865268e-36,6.870611186133944e-30,1.2344948038767922e+49,6.2697374393568655e+40,3.4642734128193514e-24,31515575.509359155,0.0016525856857972936,0.006537763666357204,0.0013503023919609171,3.794548485987585e-05
35.0,8.999990314634655,-10.0,29483.411457712133,24870675.03205645,4922.23524295202,31510185.336077876,24591.671611967642,1.562139117286188e+37,8.093695015633802e+28,4.862863611226883e-36,6.898088741252003e-30,1.4769819265118732e+49,7.526102377734746e+40,4.2191241119694815e-24,31510185.336077876,0.0016421496073023348,0.006534685660977034,0.0013503024218741895,3.869311560466199e-05
