slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,surface lum_nuc_neu (ergs/s),surface lum_non_nuc_neu (ergs/s),surface lum_plas_neu (ergs/s),surface lum_brem_neu (ergs/s),surface lum_phot_neu (ergs/s),surface lum_pair_neu (ergs/s),surface lum_reco_neu (ergs/s),surface lum_nuc_gamma (ergs/s),surface lum_grav_gamma (ergs/s),MESA surface lum_gamma (ergs/s)
1.0,10.0,-10.0,1e-05,28292273.96544027,1e-05,725921.6592022085,4394.429335313019,0.0,1.4462379102190227e+17,0.0,0.0,0.0,4.560855873666711e+19,0.0,0.0025160005251709974,0.006102550859362313,0.0013255474742222603,0.0,1.4462379102190227e+17,0.0,0.0,0.0,0.0,0.0,0.0,3.614996576694419e+18,0.0,1.2721445803658894e+37
93.0,10.0,-10.0,1000.0,28291273.96545027,36.9593520767294,865026.1386454597,4506.162609381725,0.0,2.334762316065895e+18,0.0,0.0,0.0,2.721282559828164e+27,0.0,0.0025160005251709974,0.006102550859362313,0.0013255474742222603,0.0,2.334762316065895e+18,0.0,0.0,0.0,0.0,0.0,0.0,5.835939907495275e+19,0.0,9.611553235026951e+36
94.0,10.0,-10.0,1044.3512224920753,28291229.614227775,44.35122249207528,868275.6660288505,4148.710462167801,0.0,2.4868213692822564e+18,0.0,0.0,0.0,6.199500515453826e+27,0.0,0.002488995312584066,0.006083494621983942,0.0012321516160785184,1e-99,2.4868213692822564e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.6166392413792193e+19,0.0,6.827772727898693e+36
95.0,10.0,-10.0,1090.9200061087543,28291183.04544416,46.56878361667904,871989.4904665074,4147.936040872777,0.0,2.654461255196981e+18,0.0,0.0,0.0,1.0097824158681046e+28,0.0,0.002488995312584066,0.006083494621983942,0.001232151616078518,2.0249385006558325e-100,2.654461255196981e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.7638535201042952e+19,0.0,6.760569062915683e+36
96.0,10.0,-10.0,1139.8172289062672,28291134.148221362,48.897222797512995,875519.9017113454,4149.581364506634,0.0,2.8407734809559004e+18,0.0,0.0,0.0,1.4478361687488773e+28,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.0000095348537114e-99,2.8407734809559004e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.9029577009097994e+19,0.0,6.708874228480094e+36
97.0,10.0,-10.0,1191.159312843656,28291082.806137424,51.34208393738865,879206.9558846215,4152.3110344885645,0.0,3.048002562013207e+18,0.0,0.0,0.0,1.941345566288858e+28,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785184,2.6119982613820246e-100,3.048002562013207e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.057576400104353e+19,0.0,6.662309905443329e+36
98.0,10.0,-10.0,1245.068500977914,28291028.89694929,53.90918813425809,883060.6214186748,4155.180898012399,0.0,3.2790515081602816e+18,0.0,0.0,0.0,2.4988106065699234e+28,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.0153323572958533e-99,3.2790515081602816e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.2308546093183332e+19,0.0,6.614751415780007e+36
99.0,10.0,-10.0,1301.673148518885,28290972.292301748,56.604647540970994,887086.9791389576,4157.399409027803,0.0,3.537019014778144e+18,0.0,0.0,0.0,3.130198269976034e+28,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785186,1.0153313896274073e-99,3.537019014778144e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.4253186326253593e+19,0.0,6.561341823250901e+36
100.0,10.0,-10.0,1361.1080284369043,28290912.85742183,59.43487991801955,891297.2726686771,4160.09555102854,0.0,3.825811218894273e+18,0.0,0.0,0.0,3.8472847475549945e+28,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785184,1.0153323584201329e-99,3.825811218894273e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.644168726835062e+19,0.0,6.509183753311209e+36
101.0,10.0,-10.0,1423.514652350825,28290850.45079792,62.40662391392053,895707.6307489093,4164.190665865342,0.0,4.1503288699052186e+18,0.0,0.0,0.0,4.664092417046721e+28,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.0153323584166346e-99,4.1503288699052186e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.8914529037031485e+19,0.0,6.46376012178722e+36
